,atclNo,atclNm,rletTpNm,tradTpNm,atclCfmYmd,flrInfo,prc,lat,lng,sameAddrCnt,direction,atclFetrDesc,spc2
0,2324068577,일반상가,상가,월세,23.06.09.,1/7,15000,37.50715,127.053191,1,,,198.32
1,2324460177,일반상가,상가,월세,23.06.09.,1/4,10000,37.520967,127.024152,1,남서향,가로수길1층.무권리.코너건물.눈에확띄는ACE건물,66.1
2,2324461743,일반상가,상가,월세,23.06.09.,1/6,15000,37.499645,127.028616,2,동향,"무권리, 강남역 유동인구많은 먹자 거리, 1층",148.76
3,2324166630,일반상가,상가,월세,23.06.09.,B1/5,6000,37.503175,127.051856,1,서향,선릉 먹자라인 메인에 위치한 전용40p 지하1층 상가음식점,220
4,2324224567,일반상가,상가,월세,23.06.09.,B2/11,10000,37.505056,127.047294,1,남향,pc방 운동시설 추천 엘베O 주차2대 추가주차 가능 원상복구상태,351.32
5,2324127590,일반상가,상가,월세,23.06.09.,1/2,20000,37.503998,127.027124,2,서향,주택형 무권리 상가 초가성비,271.1
6,2324385703,일반상가,상가,월세,23.06.09.,2/3,15000,37.526398,127.04404,1,남향,실110. 무권리.청담명품거리.테라스.고급인테리어 물건.,363.6
7,2323366255,복합상가,상가,월세,23.06.09.,1/4,2000,37.492264,127.03894,1,,알멘토 l 인테리어A l 위치S l 종합S l 주차 무료,36
8,2324375742,일반상가,상가,월세,23.06.09.,B1/4,3000,37.522873,127.052559,1,,시작V. 전용 약31P I 청담동 지하상가 I 가성비 초ACE지하,109.18
9,2324450141,일반상가,상가,월세,23.06.09.,1/9,10000,37.505961,127.057885,2,동향,"포스코사거리 유동인구 많음 오피스 밀집 1층,2층 카페베이커리",165
10,2324473211,일반상가,상가,월세,23.06.09.,B1/20,10000,37.517449,127.040645,2,동향,무권리 유동인구 바글바글 강남구청역 연결된 상가 강력 추천추천,297
