,atclNo,atclNm,rletTpNm,tradTpNm,atclCfmYmd,flrInfo,prc,lat,lng,sameAddrCnt,direction,atclFetrDesc,spc2
0,2324800938,일반상가,상가,월세,23.06.11.,2/5,3000,37.571801,127.173249,1,북서향,"병원, 학원, 교습소, 공부방, 필라테스 추천 5천세대 항아리상권",63.12
1,2324591369,일반상가,상가,월세,23.06.09.,1/3,12000,37.548508,127.143879,1,서향,l 현장확인 l 대로변매장 l 단독층사용 l 통임대추천 l 자주식주차 l,171.9
2,2324595820,일반상가,상가,월세,23.06.09.,1/3,10000,37.548508,127.143879,1,서향,l 현장확인 l 대로변매장 l 단독층사용 l 조망좋은공 l 자주식주차 l,171.9
3,2324808840,단지내상가,상가,월세,23.06.11.,1/3,3000,37.552055,127.166764,1,서향,신축대단지 메인상가 위치좋은 도로 전면 자유업종,16.77
4,2324808856,단지내상가,상가,매매,23.06.11.,1/2,25000,37.550651,127.159824,1,남향,,20.11
5,2324786497,단지내상가,상가,월세,23.06.10.,1/2,10000,37.557718,127.170086,1,남동향,초특급  항아리상권  굿  위치좋아요 금액조정가,55
6,2324788237,단지내상가,상가,월세,23.06.10.,1/2,6000,37.557718,127.170086,1,남서향,초특급 가격이 가장착해요  금액조정가 노출도 정말좋아요  프렌차이즈 추,75.59
7,2324758019,일반상가,상가,월세,23.06.10.,2/5,500,37.558255,127.169329,1,남향,"역세권 샾인샾 I 면적 및 임대료 조정가능 I 네일샾, 타로점 등 추천",23
8,2324786650,단지내상가,상가,월세,23.06.10.,1/2,3000,37.557718,127.170086,1,북향,조정가 메인자리 가격이 가장착해요 노출도 정말좋아요 치킨 분식 커피 추첨,37.19
9,2324769607,일반상가,상가,월세,23.06.10.,전체층/2,7000,37.539812,127.127617,1,동향,로데오 메인 1층 및 2층 전부 사용 가능한 매물입니다.,105.79
10,2324788635,단지내상가,상가,월세,23.06.10.,1/2,10000,37.557718,127.170086,1,남향,0단지 항아리상권. 노출굿. 유동인구 많은자리입니다. 프렌차이즈 추천0,57.31
11,2324794094,일반상가,상가,월세,23.06.10.,1/3,1000,37.561796,127.16264,1,서향,,30
12,2324770161,일반상가,상가,월세,23.06.10.,1/6,120000,37.534314,127.136203,2,북향,"대로변 무권리 1,2층 연층 사용 가능한 대형평수 매물입니다.",363.62
13,2324740172,일반상가,상가,월세,23.06.10.,2/10,10000,37.53851,127.125128,4,남향,l 천호역세권 l 대형상가 l 무권리 l,132
14,2324794127,일반상가,상가,월세,23.06.10.,1/4,2000,37.562726,127.160781,3,,깨끗한 무권리 매장 I 비즈밸리 맞은편 대로변 I 주차가능,98.45
15,2324757584,일반상가,상가,월세,23.06.10.,1/4,1500,37.549103,127.171106,1,,대단지아파트배후상권 I 유동인구多 학교앞 I테이크아웃 추천,36.3
16,2324786573,단지내상가,상가,월세,23.06.10.,1/2,5000,37.557718,127.170086,1,북향,,48.09
