,atclNo,atclNm,rletTpNm,tradTpNm,atclCfmYmd,flrInfo,prc,lat,lng,sameAddrCnt,direction,atclFetrDesc,spc2
0,2324762055,일반상가,상가,월세,23.06.10.,1/2,1000,37.635825,127.017524,3,서향,"화계역1분,1층 대로변상가, 집기일체 통째로 드려요",31.96
1,2324766286,일반상가,상가,월세,23.06.10.,B1/5,2000,37.613922,127.032622,1,남동향,미아사거리 2분 6미터코너위치 실42p 주차가 가격좀더조절가,133.98
2,2324777146,일반상가,상가,월세,23.06.10.,1/5,1000,37.6475,127.014365,1,동향,무권리 4.19사거리 대로변 코너 랜드마크 건물 알토란 점포,33.25
3,2324740938,일반상가,상가,월세,23.06.10.,1/4,2000,37.640911,127.019418,1,북동향,무권리 사진첨부 수유역 가오리역 더블역세권 아파트대단지 정문 앞 요지,56
4,2324642185,일반상가,상가,월세,23.06.09.,3/6,1000,37.617422,127.027316,1,남동향,역세권 대로변 공실 2층 3층 전용27p 단독사용 사무실 교습소 쇼핑몰,106.97
5,2324633917,일반상가,상가,월세,23.06.09.,1/4,2000,37.640911,127.019418,1,북향,,56
6,2324079366,복합상가,상가,월세,23.06.07.,2/4,8000,37.628974,127.039306,1,남향,"즉시,입지최상  사무실 동물병원 ,프랜차이즈  까페 정형 외과  ,안과",220
7,2324474779,일반상가,상가,월세,23.06.09.,3/4,2000,37.621967,127.020025,1,북향,"버스정류장,전철역옆,넓은 공간",136
8,2324558458,일반상가,상가,월세,23.06.09.,3/6,3000,37.625016,127.027039,1,북서향,역세권 무권리 공실 38P 병의원 학원 사무실 추천,128
9,2324511025,일반상가,상가,월세,23.06.09.,B1/4,2000,37.6398,127.010914,1,남향,사진첨부 무권리 가오리역세권 국립재활원 대로변 보관창고 제품공장,167.58
10,2324535047,일반상가,상가,월세,23.06.09.,1/4,2000,37.627261,127.037347,1,남동향,"무권리점포, 화장실 별도, 즉시입주가능",45.69
11,2324661314,일반상가,상가,월세,23.06.09.,2/6,20000,37.624151,127.026598,2,동향,"미아역근처위치,병원,피트니스등 유치원함,큰대로변",284.9
12,2324489748,일반상가,상가,월세,23.06.09.,1/1,2500,37.617321,127.020406,1,남동향,대로변 테라스 카페 10P 프랜차이즈 카페 음식 분식 추천 바닥권리조정,29.82
13,2324492528,일반상가,상가,월세,23.06.09.,1/5,2500,37.644538,127.016083,1,서향,,42.95
