,atclNo,atclNm,rletTpNm,tradTpNm,atclCfmYmd,flrInfo,prc,lat,lng,sameAddrCnt,direction,atclFetrDesc,spc2
0,2324389774,복합상가,상가,월세,23.06.09.,2/10,1000,37.557945,126.830705,1,서향,마곡역에서 도보4분이내 밝은 상가,30.54
1,2324436704,복합상가,상가,월세,23.06.09.,3/13,2000,37.560127,126.832101,1,남향,,70.98
2,2324422921,일반상가,상가,월세,23.06.09.,1/12,5000,37.568631,126.826728,1,남향,메인상권노출상가,37.44
3,2324381524,복합상가,상가,월세,23.06.09.,9/10,500,37.557945,126.830705,1,남향,마곡역에서 도보4분이내 깨끗한 근생 상가 사무실,22.71
4,2324401168,일반상가,상가,월세,23.06.09.,1/5,2000,37.560205,126.830524,1,북향,"LG사이언스 앞, 유동인구 최상, 출입구 코너, 노출 좋은 1층 상가",20.89
5,2324105358,복합상가,상가,월세,23.06.08.,B1/10,1000,37.557945,126.830705,1,동향,"전용11, 마곡역 4분거리, 층고 높은 배달 상가 추천",36.72
6,2324126893,복합상가,상가,월세,23.06.08.,1/12,8000,37.559025,126.829053,1,북향,"마곡역대로변뷰,오피스밀집지역,전면공지넓음,실25.3ㅍ",83.64
7,2324155944,일반상가,상가,월세,23.06.08.,2/9,10000,37.558927,126.824787,1,북향,코너 끼고 간판 가시성이 매우 좋은 곳 대형 음식점으로  적합한 위치 ,165.58
8,2324107981,복합상가,상가,월세,23.06.08.,10/10,1000,37.557945,126.830705,1,남향,마곡역에서 도보4분이내 깨끗한 근생 상가 사무실,25.92
9,2324190927,복합상가,상가,월세,23.06.08.,2/9,1000,37.558455,126.825565,1,북향,"실사용 12, 컨디션 좋은 2층 상가, 1인샵 자리",34.8
10,2324182201,복합상가,상가,월세,23.06.08.,3/8,5000,37.559014,126.823936,1,남향,마곡역 도보 3븐거리 코너자리입니다.,120.19
11,2324205016,단지내상가,상가,월세,23.06.08.,3/12,1000,37.558694,126.832206,3,남향,공항대로 버스정류장 좋은 위치 3층 근생 저렴한 월세,48
12,2324216938,복합상가,상가,월세,23.06.08.,7/10,1000,37.560878,126.829628,1,동향,12펴 O높은 층고 뷰 좋은 상가사무실O,33.21
13,2323675090,복합상가,상가,월세,23.06.07.,9/10,500,37.557945,126.830705,1,남향,"플러스 햇살가득한 상가사무실 뷰티샵,공방추천",22.71
14,2323918823,복합상가,상가,월세,23.06.07.,2/12,6000,37.558694,126.832206,1,북서향,"공항대로뷰 코너양창 광고,가시성 아주 좋은 귀한 근생 63펴",208.7
15,2324040106,일반상가,상가,월세,23.06.07.,1/9,2000,37.558599,126.827968,1,남향,"마곡역 역세권 상가의 노른자, 빠른 입주가능, 뷰티샵 강력추천",53.04
16,2323848709,일반상가,상가,월세,23.06.07.,2/13,1000,37.559059,126.828598,1,서향,"간판노출GOOD, 메인 거리 2층 소형 상가, 업종 제한X",44.63
17,2323909590,복합상가,상가,월세,23.06.07.,1/9,2000,37.558599,126.827968,1,동향,"1층 상가, 업종 제한 없음, 음식점,배달업 추천",53.04
18,2324045146,복합상가,상가,월세,23.06.07.,1/13,5000,37.560127,126.832101,1,남향,LG앞 먹자라인 .무권리. 유동인구 많은 라인,57.32
19,2323903203,일반상가,상가,월세,23.06.07.,2/10,1000,37.557945,126.830705,1,서향,"마곡발산, 전용9P, 테라스별도O, 카페설비, 예쁜 인테리어 완비",30.56
0,2323685893,복합상가,상가,월세,23.06.05.,1/9,10000,37.558599,126.827968,1,북향,마곡플러스 음식점추천 층고높고 노출좋은 1층상가,104.21
1,2323580513,일반상가,상가,월세,23.06.05.,2/13,2500,37.559466,126.833894,1,북서향,META추천O 발산상권O 인테리어O 주방집기O 노출광고O 빠른입주O,54.74
2,2323686377,복합상가,상가,월세,23.06.05.,1/9,2000,37.558599,126.827968,1,남향,플러스 2층보다 저렴한 전용 16 1층 상가,53.04
3,2323579236,일반상가,상가,월세,23.06.05.,1/13,3000,37.559059,126.828598,1,남향,META추천O 마곡역세권O 이면도로O 먹자거리O 1층O 맞상가O,37.63
4,2324756570,일반상가,상가,월세,23.06.10.,4/5,5000,37.561666,126.845013,3,서향,"사거리코너상가,유동인구많음,업종무관,조정가",129
5,2324556253,단지내상가,상가,월세,23.06.09.,1/2,3000,37.567259,126.815856,1,북향,,38.26
6,2324638979,단지내상가,상가,월세,23.06.09.,1/1,3000,37.571183,126.808183,1,남향,"주거지 상권, 시설 깔끔한 방화동 공실 상가",60.49
7,2324781028,복합상가,상가,월세,23.06.10.,2/13,1000,37.559684,126.831391,1,남향,LG사이언스파크앞.점심상권.피부샵.미용샵.왁싱샵.추천.,39.2
8,2324787397,복합상가,상가,월세,23.06.10.,3/12,5000,37.559569,126.832726,1,북향,"공항대로코너 건물 전용 77. 대형상가,에스컬레이터앞.가성비굿",254.18
9,2324784460,일반상가,상가,매매,23.06.10.,5/5,76000,37.560205,126.830524,1,북향,전용37 세안고 투자용. 가시성과 뷰 굿. 유동인구 많은 위치,124.03
10,2324786529,일반상가,상가,월세,23.06.10.,1/7,10000,37.552362,126.869978,1,서향,"횡단보도앞 1층 무권리자리,음식점,호프집,판매점 및 자유업종가능",82.64
11,2324789102,복합상가,상가,월세,23.06.10.,1/13,5000,37.559109,126.828042,6,북동향,사진O공항대로뷰 코너호실 노출최상,42.55
12,2324795979,일반상가,상가,월세,23.06.10.,2/4,5000,37.567371,126.813577,1,서향,"신축급,주차O,엘베O,관리비30,",224.79
13,2324790010,일반상가,상가,월세,23.06.10.,B1/10,1500,37.560878,126.829628,1,북향,사진O노출굿 엘지근접 전용약20 가성비최고,64.62
14,2324789752,복합상가,상가,월세,23.06.10.,1/9,10000,37.558599,126.827968,1,북향,사진O마곡역1분 맞상가 무권리 전용31.5,104.21
15,2324795853,일반상가,상가,월세,23.06.10.,3/4,5000,37.567371,126.813577,1,서향,"신축급,주차O,엘베O,관리비30,",224.79
16,2324795536,일반상가,상가,월세,23.06.10.,1/6,1000,37.567577,126.812218,1,북향,"신축급,공실,천장에어컨,공방네일샵 추천",20.88
17,2324792273,단지내상가,상가,월세,23.06.10.,1/3,10000,37.561774,126.818643,1,북향,"엠밸리 9단지,강서세무서,마곡역,마곡나루 상권,코너상가,",91.31
18,2324781003,복합상가,상가,매매,23.06.10.,1/8,100000,37.558784,126.824252,1,동향,.마곡역세권. 학세권 업무 상업지구 대단지 아파트 밀집 지역 학원가,42.51
19,2324781807,복합상가,상가,월세,23.06.10.,1/8,4000,37.558784,126.824252,3,동향,.마곡역세권. 학세권 업무 상업지구 대단지 아파트 밀집 지역 ,42.51
0,2324772455,복합상가,상가,월세,23.06.10.,3/12,10000,37.55988,126.834881,1,남향,"발산먹자상권 대형2층상가 광고노출 최상 대형 프렌차이즈,노래방,PT샵추천",304.7
1,2324771729,일반상가,상가,월세,23.06.10.,1/10,3000,37.560878,126.829628,4,북향,"마곡역세권.LG사이언스파크앞 코너건물.배달,분식 추천 유동인구 많은곳",43.7
2,2324776283,복합상가,상가,월세,23.06.10.,3/13,3000,37.558499,126.834316,2,남향,발산역 앞 전용27 근생겸 사무실.추가주차가.즉시입주,90.61
3,2324776363,복합상가,상가,월세,23.06.10.,2/13,6000,37.558499,126.834316,1,남향,발산역 전용약55 .근생 겸 사무실.주차편리,181.22
4,2324772930,일반상가,상가,월세,23.06.10.,2/10,2000,37.560878,126.829628,1,남향,"LG사이언스파크앞 코너건물.활성화된 근생, 뷰티관련추천 광고가시성 굿",51.7
5,2324775087,일반상가,상가,월세,23.06.10.,2/10,6000,37.560878,126.829628,3,남향,"엘지사이언스앞 코너건물 코너근생 레스토랑,음식점 적극 추천",107.96
6,2324779259,복합상가,상가,월세,23.06.10.,2/7,3500,37.552362,126.869978,1,북향,"실면적35,초중학교근접,대로변노출건물,접근성우수,주변아파트밀집군",116
7,2324770199,복합상가,상가,월세,23.06.10.,1/6,6000,37.543148,126.838652,1,북동향,화곡역 초역세권 대로변 코너 건물,52.89
8,2324772545,복합상가,상가,월세,23.06.10.,4/7,5000,37.543148,126.838652,1,북동향,화곡역 강서로 대로변 코너 신축 건물,123.9
9,2324772219,복합상가,상가,월세,23.06.10.,4/12,3000,37.55988,126.834881,1,북동향,LG연구소 메인상권 야외테라스 넓게 단독 사용,90.67
10,2324774013,일반상가,상가,월세,23.06.10.,2/10,3000,37.560878,126.829628,1,남향,"활성화된 근생, 뷰티관련추천 광고가시성 굿,테라스 엘지사이언스앞",66.7
11,2324771143,복합상가,상가,월세,23.06.10.,2/10,1500,37.558278,126.829271,1,남향,"엠밸리15단지 맞은편 대형상가, 네일삽, 피부관리,보습학원 추천",40.56
12,2324779395,복합상가,상가,월세,23.06.10.,1/7,10000,37.552362,126.869978,2,,"1층전면,무권리,전용25,횡단보도및정류장상권,아파트밀집군",82
13,2324773159,복합상가,상가,월세,23.06.10.,B1/11,3000,37.560956,126.828823,1,남향,마곡역 전용27 .에스컬레이터운행 .층고높은 지하상가,90.58
14,2324772408,복합상가,상가,월세,23.06.10.,2/6,6000,37.543148,126.838652,1,북동향,화곡역 초역세권 대로변 코너 건물,165
15,2324772490,일반상가,상가,월세,23.06.10.,6/8,8000,37.554182,126.866817,1,북동향,신축 교육시설 체육시설 병의원 노출잘되는대로변신축 앞뒤로아파트밀집지역,195.42
16,2324771056,일반상가,상가,월세,23.06.10.,2/8,5000,37.554182,126.866817,1,북동향,,108.93
17,2324773548,일반상가,상가,월세,23.06.10.,4/10,5000,37.542183,126.83955,1,북동향,"실사진, 화곡역 8번출구 도보 1분, 초역세권 대로변 4층,",125.62
18,2324780801,복합상가,상가,매매,23.06.10.,1/10,130000,37.563889,126.839513,1,동향,.전용23. 마곡지구 오피스 오피스텔 아파트 혼합상권 ,34.79
19,2324776230,복합상가,상가,월세,23.06.10.,2/13,20000,37.558499,126.834316,2,북향,공항대로 노출좋은 2층 상가 전용110.홍보관.병의원.주차편리,365.23
0,2324769705,복합상가,상가,월세,23.06.10.,2/15,10000,37.551142,126.865439,1,남동향,S.전용40 l 테라스30 l 전면노출 l 큰대로변위치 l,135.84
1,2324769749,복합상가,상가,매매,23.06.10.,2/15,175000,37.551142,126.865439,1,남동향,S.전용40 l 테라스30 l 병원입점예정 l 역세권 l 투자 l,135.84
2,2324764564,복합상가,상가,월세,23.06.10.,2/9,2000,37.55854,126.824727,2,남향,,41.02
3,2324765999,복합상가,상가,월세,23.06.10.,B1/11,4000,37.560956,126.828823,1,남향,마곡역 전용42.층고높은 상가. 에스컬레이터운행.,139.11
4,2324766421,일반상가,상가,월세,23.06.10.,3/12,5000,37.560197,126.837298,3,,"실평수 45,   3층   무권리",148.19
5,2324766789,일반상가,상가,월세,23.06.10.,3/4,2000,37.530862,126.849247,1,서향,"실사진, 곰달래로 사거리 코너 건물, 3층 단독층, 상가 겸 사무실",82.64
6,2324765003,일반상가,상가,월세,23.06.10.,B1/4,1000,37.537587,126.838415,1,남향,"실사진, 가로공원로 대로변 월세 저렴한 상가 지하 1층",109.09
7,2324767803,일반상가,상가,월세,23.06.10.,1/4,7000,37.553749,126.836359,1,남동향,내발산동 대로변 무권리 1층 상가,102.47
8,2324765862,일반상가,상가,월세,23.06.10.,2/4,3000,37.573254,126.813718,1,서향,"넓은 내부상태,사무실,교육장 적합,다른 상권도 가능",148
9,2324766970,단지내상가,상가,월세,23.06.10.,B1/10,1500,37.560878,126.829628,1,남향,마곡 전업종 입주가능 접근성좋은 2면개방 코너자리 지하상가,64.62
10,2324769822,일반상가,상가,매매,23.06.10.,1/12,185000,37.551295,126.865541,1,남동향,S.전용26 l 전면노출 l 역세권 l 유동인구 많음 l,86.23
11,2324766529,일반상가,상가,월세,23.06.10.,1/4,3000,37.544922,126.834894,1,남동향,화곡3동 청소년도서관 인근 이면도로변 사거리 코너 상가,89.25
12,2324769893,복합상가,상가,월세,23.06.10.,1/12,10000,37.551295,126.865541,1,북동향,S.전용26 l 1층 l 전면노출 l 무권리 l 등촌역 l,86.23
13,2324767470,일반상가,상가,월세,23.06.10.,1/12,8000,37.560197,126.837298,1,,"실평수 23.  1층, 야장가능",76.87
14,2324769688,일반상가,상가,월세,23.06.10.,B1/12,1000,37.55933,126.825532,1,남서향,CHAORUM에스컬레이터 바로 앞 접근성 좋음. 월세저렴 추천.,36.63
15,2324768174,복합상가,상가,월세,23.06.10.,B1/11,1000,37.560878,126.829628,2,,무권리.마곡역초역세권.LG라인.주점.음식점.추천 13펴,41.8
16,2324766368,일반상가,상가,월세,23.06.10.,1/14,7000,37.560259,126.836883,1,,"1층  15,  야장가능",47.25
17,2324767744,복합상가,상가,월세,23.06.10.,B1/11,1500,37.560878,126.829628,1,,마곡역 마곡나루역 더블역세권 엘지사이언스 앞 근생 20펴,64.6
18,2324764745,일반상가,상가,월세,23.06.10.,3/3,3000,37.555472,126.865664,1,북서향,"실사진, 증미역 도보 5분, 염창동 아파트 단지 인근 도로변 상가 3층",92.56
19,2324767517,일반상가,상가,월세,23.06.10.,3/8,10000,37.554714,126.83655,1,북동향,발산역 사거리 신축 메디컬 빌딩,178.51
0,2324763196,복합상가,상가,월세,23.06.10.,4/12,18000,37.558694,126.832206,1,남향,"마곡 대형평수상가, 병의원, 휘트니스, 키즈카페추천드려요",419
