,atclNo,atclNm,rletTpNm,tradTpNm,atclCfmYmd,flrInfo,prc,lat,lng,sameAddrCnt,direction,atclFetrDesc,spc2
0,2324737597,단지내상가,상가,전세,23.06.10.,3/4,4000,37.475123,126.932486,1,남향,대단지메인아파트1층.무권리.업종제한없음.사업자등록가능.엘레베이터있음,9.15
1,2324737720,일반상가,상가,월세,23.06.10.,6/7,3000,37.474247,126.933735,1,남동향,"이면도로위치 운동시설,학원,병원등 추천. 서울대벤처타운 도보5분",138.62
2,2324738179,단지내상가,상가,전세,23.06.10.,B1/3,2000,37.475123,126.932486,1,남향,대단지상가.업종제한없음.창고사용가능.주차가능.사업자등록가능,23.19
3,2324809871,일반상가,상가,매매,23.06.11.,1/8,75000,37.487211,126.957991,1,,"수익률5.24,성업중,관악브라운스톤출입구맞은편,버스정거장근접",67.13
4,2324680603,일반상가,상가,월세,23.06.10.,1/1,500,37.46325,126.918739,1,서향,,40
5,2324762638,일반상가,상가,월세,23.06.10.,1/15,5000,37.481088,126.95092,2,북동향,"무권리, 서울대입구역 인근 대로변, 유동인구 多, 미니수퍼, 포장마차",17.95
6,2324771588,일반상가,상가,월세,23.06.10.,1/6,30000,37.475966,126.981177,1,동향,사당역 5번 출구앞  특급 중심상권 대로변 가시성 좋은1층 매장,27
7,2324762201,일반상가,상가,월세,23.06.10.,1/4,1000,37.486788,126.938004,8,동향,"무권리, 유동인구 많은 코너 각지 1층 상가, 금액 저렴, 즉시 입점",26
8,2324791163,일반상가,상가,월세,23.06.10.,2/6,3000,37.481912,126.943909,3,북향,남부순환로 대로변 노출좋은 2층 상가사무실 업종제한 없습니다,137.05
9,2324774941,복합상가,상가,월세,23.06.10.,1/3,1000,37.463018,126.918403,1,남동향,유동인구 많고 초등학교 바로 앞,19
10,2324592947,일반상가,상가,월세,23.06.09.,1/7,2000,37.488553,126.927835,2,남동향,무권리 카페 미용실 네일아트 냄새 안나는 식당 추천,37.08
11,2324582020,일반상가,상가,월세,23.06.09.,3/5,2000,37.479214,126.92595,4,남향,초등학교인근 3층 상가사무실 학원 사무실 추천,83.14
12,2324581933,일반상가,상가,월세,23.06.09.,1/5,3000,37.479214,126.92595,9,남향,대로변 가시성 좋은 1층 상가사무실 30p,111.1
13,2324634343,일반상가,상가,월세,23.06.09.,1/5,3000,37.468768,126.934481,1,북향,"1층 무권리, 대학동 중심상권, 내부 화장실있음",82.64
14,2324612309,일반상가,상가,월세,23.06.09.,2/5,5000,37.483175,126.904106,7,동향,천여세대단지앞 동물병원 필라테스추천 엘레베이터 시스템에어컨,74
15,2324642383,일반상가,상가,월세,23.06.09.,1/4,1500,37.477667,126.962975,4,동향,낙성대역 초초역세권 상가,55
16,2324656048,단지내상가,상가,매매,23.06.09.,1/3,25000,37.494085,126.928169,1,서향,지분많은 투자용 귀한매물,20.58
