,atclNo,atclNm,rletTpNm,tradTpNm,atclCfmYmd,flrInfo,prc,lat,lng,sameAddrCnt,direction,atclFetrDesc,spc2
0,2323940114,일반상가,상가,월세,23.06.07.,1/5,20000,37.542868,127.064789,2,서향,"무.권.리.1층 전면부 70p근생용도, 업종제한없음, 유동인구최상, 주차",231.4
1,2323448695,일반상가,상가,월세,23.06.05.,1/20,5000,37.547403,127.072319,1,북향,화양동 어린이대공원거리 메인상권 대로변 바로앞 점포,38.4
2,2324659282,일반상가,상가,월세,23.06.09.,1/2,1200,37.545755,127.068094,1,북향,"건대역7분 대공원역5분 거리, 권리금없음",26.5
3,2324659498,일반상가,상가,월세,23.06.09.,1/2,1200,37.545755,127.068094,1,북동향,유동인구 많은 건대 골목상가 ,26.5
4,2324772400,일반상가,상가,월세,23.06.10.,1/5,1000,37.542877,127.068662,1,북향,건대골목 1층상가 유동인구多 소형매장 시설협의,19
5,2324769503,일반상가,상가,월세,23.06.10.,2/3,2000,37.548529,127.067939,1,남동향,무권리2층 넓은전면 가시성굿 코너건물 성수IT 유동인구多,95.8
6,2324765687,일반상가,상가,월세,23.06.10.,1/4,2000,37.539058,127.062555,2,남동향,,33
7,2324773218,일반상가,상가,월세,23.06.10.,3/3,3000,37.542009,127.068744,2,북서향,리모델링완료 무권리 유동인구많은거리 옥상서비스공간 건대역세권,61.62
8,2324773310,일반상가,상가,월세,23.06.10.,B1/3,1000,37.542386,127.070704,1,동향,도면OK.단독출입지하. 가맹점은 가맹거래사와 안전하게,106
9,2324766335,일반상가,상가,월세,23.06.10.,2/3,2000,37.548557,127.068151,1,남향,화양사거리 대로변 무권리 높은층고 가시성좋은2층 수도시설ok,66.1
10,2324773645,일반상가,상가,월세,23.06.10.,1/3,8000,37.540364,127.067871,1,서향,건대로데오1층무권리. 가맹점은 가맹거래사와 안전하게,33
11,2324765874,일반상가,상가,월세,23.06.10.,1/2,1000,37.539356,127.065693,1,남향,양꼬치 거리 메인 소형 상가,29.75
12,2324764948,단지내상가,상가,월세,23.06.10.,2/4,4000,37.539569,127.064345,2,,,94.2
13,2324765213,일반상가,상가,월세,23.06.10.,1/5,5000,37.538161,127.068467,2,북향,양꼬치거리 메인 1층 점포,42.23
14,2324773953,일반상가,상가,월세,23.06.10.,2/4,10000,37.539986,127.069564,1,동향,건대무권리대로변. 가맹점은 가맹거래사와 안전하게,220
15,2324773137,일반상가,상가,월세,23.06.10.,1/4,4500,37.542493,127.065366,1,남향,와이드전면 가시성좋은 1층상가 성수건대 유동인구多,60.31
16,2324773495,일반상가,상가,월세,23.06.10.,B1/4,3000,37.54363,127.070418,1,동향,"도면OK,단독출입지하. 가맹점은 가맹거래사와 안전하게",100
17,2324772293,일반상가,상가,월세,23.06.10.,1/4,2000,37.542945,127.068536,1,북향,건대골목상권 1층상가 유동인구多 시설협의,26.4
18,2324766170,일반상가,상가,월세,23.06.10.,1/4,10000,37.542788,127.068915,4,북서향,건대입구 1층 점포,49.6
19,2324784772,일반상가,상가,월세,23.06.10.,2/3,3000,37.54239,127.068965,2,남동향,,81.12
0,2324758323,복합상가,상가,월세,23.06.10.,B1/39,1000,37.535704,127.095776,1,,무권리 공실 I 에스컬레이터 옆 I 유명 완구점 옆매장 I 저렴한 임대료,22.04
1,2324736815,일반상가,상가,월세,23.06.10.,B1/4,2000,37.542493,127.065366,1,남향,건대 먹자골목 지층 무권리 철거완료,109.8
2,2324736658,일반상가,상가,월세,23.06.10.,3/3,3000,37.542009,127.068744,1,서향,"역세권, 유동인구 많은 라인 무권리 3층  옥상공간",61.62
3,2324762058,일반상가,상가,월세,23.06.10.,1/5,2500,37.539548,127.062825,1,남동향,,101
4,2324736949,일반상가,상가,월세,23.06.10.,1/4,4500,37.542493,127.065366,1,남향,성수사거리 인근 건대 맛의거리 1층 저렴한 상가,88.96
5,2324758119,일반상가,상가,월세,23.06.10.,2/4,3000,37.565529,127.079377,1,남향,"학원 사무실 강추 초등학교 바로 앞, 룸2  인포",46.72
6,2324736128,일반상가,상가,월세,23.06.10.,B1/3,1000,37.542386,127.070704,1,동향,,106.12
7,2324737811,일반상가,상가,월세,23.06.10.,1/3,50000,37.5407,127.07075,1,동향,,180
8,2324735996,일반상가,상가,월세,23.06.10.,B1/4,2000,37.54363,127.070418,1,동향,점심 저녁 유동인구 많은 라인 넓고 저렴한 매장,100
9,2324764767,일반상가,상가,월세,23.06.10.,1/3,5000,37.539569,127.064345,7,,양꼬치 메인 거리 음식점 추천,65
10,2324735920,일반상가,상가,월세,23.06.10.,1/2,3000,37.544794,127.068982,1,서향,분식 직접 운영하실 분 최적의 매장,20
11,2324737092,일반상가,상가,월세,23.06.10.,1/3,8000,37.540364,127.067871,1,서향,"상시 유동인구 가득가득한 상권 무권리, 건대입구역 도보 55미터 거리",33
12,2324761659,일반상가,상가,월세,23.06.10.,1/5,1000,37.542877,127.068662,4,북향,"화양제일골목시장 인근, 1층 상가",18.9
13,2324735688,일반상가,상가,월세,23.06.10.,3/4,3000,37.546015,127.068239,1,남향,"성수 지산과 연결되는 라인, 넓고 저렴한 매장",133
14,2324737350,일반상가,상가,월세,23.06.10.,2/4,5000,37.539986,127.069564,1,동향,건대입구역 30초거리 대로변 2층 상가,90
15,2324736244,일반상가,상가,월세,23.06.10.,1/4,11000,37.541345,127.070447,1,서향,,65
16,2324736402,일반상가,상가,월세,23.06.10.,3/8,20000,37.540652,127.070175,1,남향,"지하철 바로 옆 실 83P 넓은 매장. 병원,한의원 추천 바로 확인",275.3
17,2324737219,일반상가,상가,월세,23.06.10.,2/4,10000,37.539986,127.069564,1,동향,건대역 60m30초 거리 병원 자리,220
18,2324728179,단지내상가,상가,월세,23.06.10.,1/2,3000,37.537478,127.068852,1,동향,"무권리 1층 전면상가, 현재공실, 자주식지하주차장, 더블역세권",23.7
19,2324736510,일반상가,상가,월세,23.06.10.,1/4,2000,37.542945,127.068536,1,북향,맛집골목 구조가 특이한 분위기 좋은 소형 상가,26
0,2324666061,일반상가,상가,월세,23.06.10.,1/3,2000,37.548529,127.067939,4,남향,화양사거리 유동인구 많고 노출성 좋은 무권리 1층 상가,23.14
1,2324706816,일반상가,상가,월세,23.06.10.,1/3,1000,37.531774,127.07052,1,남향,"BEST 코너자리 이쁜점포, 무인점포, 와인바, 카페, 공방등 추천",22
2,2324676780,일반상가,상가,월세,23.06.10.,B1/1,2000,37.532664,127.076872,1,북동향,대로변 사거리 버스정류장앞 코너건물 넓고 깔끔한 지층 전체 탁구장 등,132.2
3,2324670025,일반상가,상가,월세,23.06.10.,B1/6,1500,37.546532,127.103538,1,북동향,전철역2분거리 초역세권 지하층 사무실겸용,126
4,2324669251,일반상가,상가,월세,23.06.10.,1/3,5000,37.548529,127.067939,1,남향,화양사거리 유동인구 많고 노출성 좋은 무권리 상가,122.31
5,2324726626,단지내상가,상가,월세,23.06.10.,B1/26,3000,37.537478,127.068852,1,동향,"무권리, 주차가능, 현재공실, 더블역세권",45.57
6,2324667716,일반상가,상가,월세,23.06.10.,2/3,3000,37.548529,127.067939,4,남향,화양사거리 유동인구 많고 노출성 좋은 무권리 2층 상가,99.17
7,2324585136,일반상가,상가,월세,23.06.09.,B1/6,2000,37.532446,127.084812,1,북서향,잠실대교 북단사거리 신축 무권리 습기하나도 없는 지하 상가,67
8,2324580372,일반상가,상가,월세,23.06.09.,1/2,2000,37.545589,127.070835,1,남동향,주택스타일1층. 가맹점은 가맹거래사와 안전하게,26.4
9,2324581303,일반상가,상가,월세,23.06.09.,1/3,5000,37.540364,127.067871,1,서향,o가맹거래사 가맹점 안전양수도o 건대 카페브랜드,27
10,2324573966,일반상가,상가,월세,23.06.09.,1/4,7000,37.566064,127.084153,1,남동향,중곡역3번출구 바로앞 권리없음 깨끗한업종 선호,75.08
11,2324605961,일반상가,상가,월세,23.06.09.,6/7,3000,37.542187,127.070999,4,남동향,"건대입구역 역세권 1인 가게 추천 상권,가성비 좋은 상가",67.13
12,2324623963,일반상가,상가,월세,23.06.09.,1/5,3000,37.569966,127.08338,1,북서향,대로변 전면 유리창 광고성 좋은 상가,79.2
13,2324634371,단지내상가,상가,매매,23.06.09.,1/1,58000,37.545852,127.090104,1,남동향,,36.72
14,2324581896,일반상가,상가,월세,23.06.09.,2/4,5000,37.539986,127.069564,1,동향,건대사거리대로변. 가맹점은 가맹거래사와 안전하게,90
15,2324634440,일반상가,상가,월세,23.06.09.,2/4,3000,37.541931,127.070717,1,서향,삼거리 코너 점포 가시성 좋고 시설 잘 되어 있는 이자카야 매장,65
16,2324585827,일반상가,상가,월세,23.06.09.,1/2,10000,37.539479,127.092547,1,남동향,"무권리 통임대 면적70, 덤웨이터O, 매장 앞 자주식주차10대, 코너자리",230.82
17,2324578036,일반상가,상가,월세,23.06.09.,2/7,4000,37.542187,127.070999,1,동향,,64
18,2324612366,일반상가,상가,월세,23.06.09.,1/3,3000,37.539513,127.062712,1,서향,"삼정 실29, 무권리 영동대교북단 대로변 버정앞 노출성 좋은 통임대",98.6
19,2324585582,일반상가,상가,월세,23.06.09.,7/7,3000,37.538306,127.093545,2,서향,구의 대로변 7층 주택형 상가 겸 사무실 무권리,75.9
0,2324499789,일반상가,상가,월세,23.06.09.,3/4,3000,37.533942,127.07512,1,북동향,삼정 실35P,115.7
1,2324553797,일반상가,상가,월세,23.06.09.,3/6,5000,37.532446,127.084812,2,남동향,구의 잠실대교 북단 신축 무권리 사무실 겸 상가,136
2,2324553593,일반상가,상가,월세,23.06.09.,1/6,3000,37.532446,127.084812,4,남향,잠실대교 북단 신축 무권리 1층 상가 놓치지마세요,50.12
3,2324551501,일반상가,상가,월세,23.06.09.,B1/7,5000,37.538331,127.0753,3,북향,건대입구역 도보7분 신축급 무권리 상가,133
4,2324523771,일반상가,상가,월세,23.06.09.,1/2,3000,37.535957,127.067498,1,남동향,"가시성 좋은 1,2층 상가. 통임대. 주차가능.",99.72
5,2324511147,일반상가,상가,월세,23.06.09.,1/3,1000,37.571357,127.081544,1,남서향,시장메인통로 치킨집 12년된자리 ,26.44
