,atclNo,atclNm,rletTpNm,tradTpNm,atclCfmYmd,flrInfo,prc,lat,lng,sameAddrCnt,direction,atclFetrDesc,spc2
0,2323872976,복합상가,상가,월세,23.06.07.,1/19,2000,37.481968,126.892287,1,남서향,"자체 유동인구 다수 분식점,쌀국수 추천",45.48
1,2324746058,단지내상가,상가,매매,23.06.10.,1/3,100000,37.484681,126.851938,1,동향,"실내테니스장 성업중,임대 5000400 5년 장기계약됨",490.36
2,2324607400,복합상가,상가,월세,23.06.09.,1/8,15000,37.485903,126.89165,2,북향,역세권 전면넓은상가 홍보관 전시관 추천자리입니다,352.49
3,2324724503,단지내상가,상가,월세,23.06.10.,1/1,2000,37.486544,126.840802,1,남향,단지상가.다용도.배달업 추천.,36.85
4,2324665841,복합상가,상가,월세,23.06.10.,1/9,4000,37.481219,126.896911,2,남동향,"대로변노출,약13,커피,셀러드, 분식,노출업종 추천",34.94
5,2324728322,일반상가,상가,월세,23.06.10.,1/4,3000,37.485268,126.853382,1,동향,사무실 창고 다용도  주차가능,96.36
6,2324730067,일반상가,상가,월세,23.06.10.,2/3,3000,37.500756,126.846573,1,남향,"｜무권리 넓은 사무실｜남부순환로 대로변, 주차가능, 즉시입점",188.16
7,2324730959,일반상가,상가,월세,23.06.10.,1/4,5000,37.505322,126.855808,2,남향,"｜무권리 약국｜메디컬빌딩 1층, 아파트 초입, 유동인구 많아요",72
8,2324730850,일반상가,상가,월세,23.06.10.,1/3,2000,37.486256,126.855197,1,북향,대단지 아파트 도로  위치좋음 미용실 추천 식당 불가,33.55
9,2324721378,단지내상가,상가,월세,23.06.10.,2/2,1000,37.490073,126.859795,1,남서향,공실 전에 학원 했던 곳 학원교습소 배달음식 인터넷판매업 네일샵 추천,19.03
10,2324753859,단지내상가,상가,월세,23.06.10.,1/2,2000,37.484681,126.851938,1,북향,,22.26
11,2324757843,일반상가,상가,월세,23.06.10.,1/4,1000,37.502277,126.845264,1,남향,"｜무권리｜주거밀집지역 초입 위치｜유동인구 많음, 사거리 위치",30
12,2324774604,일반상가,상가,월세,23.06.10.,1/10,20000,37.505579,126.87727,2,북향,전용7.4 복층사용 권리금 없는 1층 상가,24.36
13,2324697391,일반상가,상가,월세,23.06.10.,1/8,2000,37.511317,126.884461,2,남동향,"초.중고인접한 단독상가1층,대단지아파트 인근으로 유동인구 많음",16.9
14,2324773770,복합상가,상가,월세,23.06.10.,1/15,7000,37.485918,126.897296,1,남서향,"전용25 1층 카페자리, 상주 및 유동인구 많음",130.21
15,2324732583,일반상가,상가,월세,23.06.10.,1/1,2000,37.492494,126.834799,1,남향,"｜더 넓은 평수 가능｜무권리｜접근성 좋은 공장, 즉시입점 가능",66.12
16,2324764411,일반상가,상가,매매,23.06.10.,1/1,21000,37.485784,126.888774,1,서향,남구로역 인근 상가 매물. 수익률 좋고 지분 큽니다,21.6
17,2324731184,일반상가,상가,월세,23.06.10.,1/4,15000,37.490317,126.892203,3,남서향,유동인구많은 대로변,180
18,2324734671,일반상가,상가,월세,23.06.10.,1/7,5000,37.486048,126.838562,1,북향,천왕역 초역세권에 위치좋음,27.35
19,2324729477,일반상가,상가,월세,23.06.10.,1/8,3000,37.485977,126.838853,1,동향,천왕역초역세권 출구 바로앞 대로변 위치좋은상가입니다.,31.27
0,2324247473,일반상가,상가,월세,23.06.08.,B1/20,500,37.497758,126.892332,1,남향,"개별냉난방기 설치 완료,  24시간  사용가능",32.2
1,2324245515,단지내상가,상가,월세,23.06.08.,B1/20,500,37.497758,126.892332,1,남향,개별 냉난방기 설치 완료,33.05
2,2323340041,복합상가,상가,월세,23.06.02.,2/18,8000,37.483075,126.897767,1,남동향,"역세권,코너,약45,2층병의원입점 성업중,간판자리있음",130.35
3,2324537778,일반상가,상가,월세,23.06.09.,2/5,4000,37.505915,126.858573,2,북향,"고척사거리 대로변,무권리,병원선호함",132.23
4,2324566383,복합상가,상가,월세,23.06.09.,B1/19,3000,37.485155,126.895072,1,남동향,"지하1층 푸드코드매장,최상권,간판지정",26.22
5,2324583219,일반상가,상가,월세,23.06.09.,1/3,1000,37.487236,126.856587,1,서향,대로변  꽃집  성업중  사정상 처분,25
6,2324516524,단지내상가,상가,매매,23.06.09.,1/1,45000,37.495786,126.847375,3,북향,,37.46
7,2324590610,일반상가,상가,매매,23.06.09.,2/5,30000,37.478792,126.822642,1,남동향,"농협건물,항동주민센터옆,배달업종추천,주방인테리어됨,투자가치높아요",43.65
8,2324594391,일반상가,상가,월세,23.06.09.,7/7,3500,37.480086,126.823104,1,북서향,"큰평수 테라스독점사용가능학원,까페추천스터디까페바로인수 가능",29.37
9,2324635342,일반상가,상가,월세,23.06.09.,1/2,2000,37.49989,126.882955,1,동향,"무권리,관리비없음,NC백화점건너편대로변1층,유동인구,노출최상,아파트배후지",22.82
10,2324596428,일반상가,상가,월세,23.06.09.,1/7,20000,37.481066,126.891596,1,남동향,전용77 무권리 1층 전면상가,77
11,2324504066,단지내상가,상가,월세,23.06.09.,1/2,1000,37.484264,126.82007,1,북서향,"단지출입구앞,임대료저렴,배달업,분식,공방,사무실등",31.75
12,2324559263,일반상가,상가,월세,23.06.09.,1/5,2000,37.499868,126.846092,1,동향,아주 깔끔한 점포로 내부에 깨끗한 화장실있고요 전용주차장 차한대 댑니다,43.25
13,2324596783,일반상가,상가,매매,23.06.09.,4/7,30000,37.480782,126.824279,1,남동향,"수익률좋은임대완료된상가,신축,항아리상권,소액투자추천",32
14,2324531352,단지내상가,상가,월세,23.06.09.,2/2,1000,37.475597,126.815943,1,남서향,,55.2
15,2324547972,복합상가,상가,월세,23.06.09.,2/18,7000,37.483075,126.897767,1,남동향,"역세권,전용33,2층병의원입점 성업중,간판자리있음",104.2
16,2324531768,단지내상가,상가,월세,23.06.09.,2/2,1000,37.475711,126.8167,1,남서향,,37.83
17,2324594551,일반상가,상가,월세,23.06.09.,7/7,3500,37.480086,126.823104,1,북서향,"큰평수 테라스독점사용가능학원,까페추천스터디까페바로인수 가능",19.86
18,2324626499,일반상가,상가,월세,23.06.09.,1/1,15000,37.495598,126.843535,1,동향,역세권 유동인구 많고 노출 좋은 점포 무권리,88.51
19,2324640661,복합상가,상가,월세,23.06.09.,1/7,5000,37.486048,126.838562,2,북향,초역세권 코너상가 특A급 권리금무,27.35
