,atclNo,atclNm,rletTpNm,tradTpNm,atclCfmYmd,flrInfo,prc,lat,lng,sameAddrCnt,direction,atclFetrDesc,spc2
0,2324320267,복합상가,상가,월세,23.06.08.,1/19,5000,37.477031,126.879629,1,북동향,"무권리,  전면부 돌출부 위치 최상, 실20 , 냉난방 LED등설치완료",64.9
1,2324191877,일반상가,상가,월세,23.06.08.,3/4,2000,37.466802,126.901485,1,동향,"독산4동 사거리 3,4층 연층임대  내부 리모델링 주차2대",139.1
2,2323109983,일반상가,상가,월세,23.06.07.,1/15,5000,37.479996,126.882514,1,서향,실19 1층 무권리 가산역연결건물더블역세권 위치좋은상가 모든업종가능,61.5
3,2324808278,복합상가,상가,매매,23.06.11.,1/20,65000,37.476015,126.886107,2,서향,"엘베,로비 바로 앞",68.13
4,2324460100,일반상가,상가,월세,23.06.09.,1/15,3000,37.471653,126.883471,2,북향,전용14.58 1층 상가 국밥등 음식점 추천 매우 저렴한 임대료,48.2
5,2324314640,복합상가,상가,월세,23.06.08.,B1/15,5020,37.482005,126.881533,1,남동향,가산디지털초역세권 무권리지하  상가 유동인구및상주인원많은  상가,54.59
6,2324725676,단지내상가,상가,월세,23.06.10.,1/5,1000,37.458243,126.894176,1,남향,타로카페. 네일아트.분식집추천,27.11
7,2324267243,일반상가,상가,월세,23.06.08.,1/5,5000,37.434632,126.903501,1,남향,"초역세권,주변상권최상,투썸,베스킨,치과입점,권리금무,상권선점절호찬스",56.89
8,2324791554,일반상가,상가,월세,23.06.10.,2/3,300,37.446877,126.903067,7,서향,,117.72
9,2324116584,단지내상가,상가,월세,23.06.07.,2/3,2500,37.459983,126.897244,1,남향,,69.82
10,2324526101,복합상가,상가,월세,23.06.09.,1/15,5000,37.479996,126.882514,1,북향,보세옷가게 추천가능한 상가,62.75
11,2324526505,단지내상가,상가,월세,23.06.09.,1/14,2000,37.476637,126.890991,1,동향,가산동 메인유동인구 상권 상가입니다,27.38
12,2324630690,단지내상가,상가,월세,23.06.09.,1/5,2000,37.458243,126.894176,1,남향,"렌트프리 10개월, 무권리",53
