,atclNo,atclNm,rletTpNm,tradTpNm,atclCfmYmd,flrInfo,prc,lat,lng,sameAddrCnt,direction,atclFetrDesc,spc2
0,2324779528,일반상가,상가,월세,23.06.10.,3/5,2000,37.665407,127.066572,1,서향,"무권리, 넓은 면적, 저렴한 월세, 바닥난방, 학원추천",101.48
1,2324735801,일반상가,상가,월세,23.06.10.,3/4,8000,37.652144,127.065492,4,,"대형평수,초등학교앞,병원 사무실 학원추천",330
2,2324735438,단지내상가,상가,월세,23.06.10.,1/3,1000,37.664859,127.065492,1,,"대단지아파트상가,출입정문앞위치좋아요,단독위임",13.06
3,2324773368,일반상가,상가,월세,23.06.10.,7/8,1500,37.648486,127.061975,1,동향,"2종근생 교습소,학원 바로영업가능 중계역도보3분 노원역 도보6분",48.52
4,2324779140,일반상가,상가,월세,23.06.10.,2/5,2000,37.665407,127.066572,1,서향,"무권리, 바닥난방, 저렴한 월세, 학원추천",101.48
5,2324735002,단지내상가,상가,월세,23.06.10.,1/3,2000,37.664859,127.065492,2,북향,"대단지아파트상가,좋은자리입니다",21.6
6,2324785939,일반상가,상가,월세,23.06.10.,4/8,5000,37.656315,127.064314,1,북서향,노원역0.1초.신축.사진有.가시성최고.병원자리,168
7,2324768135,일반상가,상가,월세,23.06.10.,2/4,1500,37.658718,127.070687,2,남향,대로변 무권리 유동인구많은자리 음식점 사무실 미용실등 추천,81.31
8,2324764800,일반상가,상가,월세,23.06.10.,5/6,20000,37.65895,127.075726,4,서향,상계역도보5분 대로변신축 대형평수,643.25
9,2324733862,일반상가,상가,매매,23.06.10.,4/6,59000,37.626884,127.07949,1,북향,"원자력병원 삼거리에 있는 다용도 일반상가  엘0 , 주차0",139.01
10,2324780343,일반상가,상가,월세,23.06.10.,4/4,1500,37.658258,127.068596,1,남서향,대로변.사진有.4층전체.실평52.다용도사무실,171.36
11,2324768895,단지내상가,상가,매매,23.06.10.,1/4,60000,37.617805,127.06858,1,남향,,18.81
12,2324763007,일반상가,상가,월세,23.06.10.,3/6,24000,37.65895,127.075726,4,서향,상계역도보5분 대로변신축 대형평수,636.75
13,2324734767,단지내상가,상가,월세,23.06.10.,2/3,2700,37.664859,127.065492,3,남향,"무권리,키보관 ,대단지아파트내상가,위치굿,음식점추천.학원 병원",93.05
14,2324738421,일반상가,상가,월세,23.06.10.,2/6,10000,37.651755,127.061675,1,남서향,안과병원개원하실분 환영합니다 사거리코너,231.4
15,2324743709,일반상가,상가,월세,23.06.10.,4/4,1500,37.658258,127.068596,3,남서향,무권리 노원역 상계역 사이 대로변 사무실등 추천,171.36
16,2324759391,일반상가,상가,월세,23.06.10.,1/3,3000,37.656373,127.065542,1,,노원역 유동인구많은먹자골목.빠.식당.옥탑이용가능.내부화장실,161.22
17,2324773815,일반상가,상가,월세,23.06.10.,5/7,5000,37.677975,127.055739,1,,7호선수락산역 도보1분.최고의 입지입니다.,166.06
18,2324758799,일반상가,상가,월세,23.06.10.,7/8,1500,37.656012,127.060564,1,서향,노원역1초.내부사진.컨디션좋은 다용도사무실.수도,36.36
19,2324735253,일반상가,상가,월세,23.06.10.,B1/4,500,37.665089,127.06652,1,서향,"수도있음,보람사거리",129.05
0,2324695323,일반상가,상가,월세,23.06.10.,4/4,3000,37.6564,127.061795,4,서향,노원역1분 사무실 학원등 위치 좋고 잘 보이는곳 상하수도있음.,117.7
1,2324696256,일반상가,상가,월세,23.06.10.,1/1,5000,37.65661,127.063777,1,남향,노원역바로앞 유동인구多 판매점 식당 커피샵 실22ㅍ,44.6
2,2324699099,단지내상가,상가,월세,23.06.10.,2/2,2000,37.668315,127.060427,1,북서향,"초등학교 바로앞건물로 학원추천,내부시설 깨끗함",27.75
