,atclNo,atclNm,rletTpNm,tradTpNm,atclCfmYmd,flrInfo,prc,lat,lng,sameAddrCnt,direction,atclFetrDesc,spc2
0,2324657900,단지내상가,상가,매매,23.06.10.,2/3,19000,37.673449,127.048088,1,동향,"투자가치있는 대단지아파트 상가,주차편리,세안고.",27
1,2324796716,일반상가,상가,월세,23.06.10.,1/5,3000,37.670309,127.046563,1,서향,현핸폰가게 주차가,49.98
2,2324761378,일반상가,상가,월세,23.06.10.,1/4,1000,37.679982,127.04739,1,북향,SUN 200090가능 빠른입주가능 역 도보3분 유동인구 많음,23.14
3,2324774097,일반상가,상가,월세,23.06.10.,2/4,2000,37.679982,127.04739,2,북향,SUN 공실 빠른입주가능  천정 수리해줌 역 도보3분거리 유동인구 많음,86
4,2324773983,일반상가,상가,월세,23.06.10.,2/4,3000,37.679982,127.04739,1,북향,SUN 공실 빠른입주가능  천정 수리해줌 역 도보3분거리 유동인구 많음,110
5,2324773005,복합상가,상가,월세,23.06.10.,3/5,3000,37.687187,127.045493,1,동향,SUN 사무실및 병원임대대로변 창문으로 뷰가 좋은 건물,174.46
6,2324536207,일반상가,상가,매매,23.06.09.,5/8,52000,37.655622,127.041475,1,북서향,구분상가 대단지 아파트 상권 안정적인 임대수익 가능한 위치,212.25
7,2324593380,일반상가,상가,월세,23.06.09.,1/3,1000,37.669186,127.031218,1,북향,조용한 주택가. 인근에 북한산둘레길,60.22
8,2324553773,일반상가,상가,월세,23.06.09.,3/4,2000,37.655145,127.043368,2,남향,창동역 도보5분 남향 관리잘된 깨끗한상태 사무실이나 주택으로 사용가능,96.25
9,2324486028,일반상가,상가,월세,23.06.09.,2/4,1000,37.665478,127.035239,2,북동향,"도깨비시장 유동인구 많은 곳, 수도시설, 무권리",85.56
10,2324540302,일반상가,상가,월세,23.06.09.,2/6,1000,37.680342,127.04621,1,남서향,무권리 도봉역 초역세권 대로변에 노출되어 가시성 좋음,76.12
11,2324615092,일반상가,상가,월세,23.06.09.,1/4,3000,37.655145,127.043368,8,남향,"아파트 밀집지역으로 유동인구 많습니다, 현 성업중",29
12,2324496704,일반상가,상가,월세,23.06.09.,3/4,2000,37.655145,127.043368,1,남향,"창동역6분, 입주협의가능, 방3,화1, 사무실이나 주택으로 사용가능",96.25
13,2324579969,일반상가,상가,월세,23.06.09.,1/5,2500,37.638365,127.034809,1,남향,무권리 우이천변 대로변 요지 커피숍 피자 파스타 미용실,54.9
14,2324553174,일반상가,상가,월세,23.06.09.,1/3,3000,37.655346,127.040216,1,동향,권리없어요 업종자유 배후세대 함밥집식당 하실분 적극강추,95.1
15,2324518194,일반상가,상가,매매,23.06.09.,1/1,200000,37.655402,127.01339,1,서향,솔밭공원역 초역세권 1층 대로변 상가 매매,82.65
16,2324436446,일반상가,상가,월세,23.06.08.,2/7,2000,37.64851,127.033711,1,동향,쌍문역 도보1분 2층 전용면적17 엘리베이터있음,57.1
17,2324448419,단지내상가,상가,매매,23.06.08.,1/6,50000,37.645952,127.03617,1,북서향,"2차선도로,현재식당성업중,매수와동시에월세수익",39.62
18,2324436177,일반상가,상가,월세,23.06.08.,1/7,2000,37.64851,127.033711,1,서향,쌍문역 도보1분 전용면적17 권리금없는1층,56.54
19,2324428335,일반상가,상가,월세,23.06.08.,1/5,8000,37.684113,127.044199,1,북동향,상가밀집지역 현재 영업중인 식당자리 권리금협의,177
0,2324340015,일반상가,상가,월세,23.06.08.,1/5,2500,37.638365,127.034809,5,남서향,"무권리, 우이천변, 내부 화장실, 주차, 채광GOOD, 카페추천",54.9
1,2324393225,일반상가,상가,월세,23.06.08.,1/3,2500,37.655346,127.040216,2,북향,"무권리상가, 즉시입주가능, 모든업종 환영",95.1
2,2324318266,일반상가,상가,월세,23.06.08.,1/4,2000,37.664505,127.035213,2,남동향,도깨비시장인근 무권리 도로변 음식 카페 미용관련,32.8
3,2324393328,일반상가,상가,월세,23.06.08.,B1/3,500,37.655346,127.040216,1,동향,공실,114.35
4,2324397443,일반상가,상가,월세,23.06.08.,1/2,5000,37.668123,127.043043,1,동향,8차선 대로변 전면매장 넓음 앞공간좋음,100.98
5,2324318436,일반상가,상가,월세,23.06.08.,2/5,3000,37.655461,127.013875,2,서향,,128.41
6,2324274160,일반상가,상가,월세,23.06.08.,2/4,1000,37.655816,127.039301,1,서향,보건소사거리대로변  2룸형 사무실 식당빼고 업종자유  협의입주,68.34
7,2324293759,일반상가,상가,월세,23.06.08.,1/1,5000,37.637902,127.037691,6,북서향,무권리 신창시장 대로변 사거리 1층 단독사용 업종자유,95.4
8,2324313399,일반상가,상가,월세,23.06.08.,2/9,2000,37.646737,127.034404,1,남동향,,108.66
9,2324115174,일반상가,상가,월세,23.06.07.,1/4,3000,37.682013,127.045402,8,동향,무권리 리모델링 완료 도봉로 대로변 업종자유,66.12
10,2323952242,단지내상가,상가,월세,23.06.07.,B1/3,5000,37.657049,127.03134,1,남향,"무권리, 주차가능,  PC방, 키즈카페, 스터디카페 등 추천, 협의 가",198
11,2324252472,일반상가,상가,월세,23.06.07.,1/3,3000,37.634626,127.041027,1,남향,"공실상가, 바로입주가능,무권리금, 마트상가 추천자리",64.34
