,atclNo,atclNm,rletTpNm,tradTpNm,atclCfmYmd,flrInfo,prc,lat,lng,sameAddrCnt,direction,atclFetrDesc,spc2
0,2324772268,단지내상가,상가,월세,23.06.10.,2/5,2000,37.576655,127.060466,3,남향,,19.54
1,2324704325,단지내상가,상가,월세,23.06.10.,1/40,5000,37.5783,127.042203,1,북서향,출입구 가까운 상가,49.63
2,2324665729,일반상가,상가,월세,23.06.10.,5/5,2000,37.58295,127.049114,1,남동향,대로변 엘리베이터 있어 편리한 상가 사무실,107.17
3,2324468490,단지내상가,상가,월세,23.06.11.,1/4,3000,37.575266,127.054961,1,북서향,미드카운티 카운티에비뉴상가 대로변 1층 점포,33.53
4,2324541045,일반상가,상가,월세,23.06.09.,2/9,15000,37.591793,127.066518,1,,"전용140폄 대로변 메디칼,스포츠빌딩 병의원 다용도상가 사무실",450
5,2324767941,일반상가,상가,매매,23.06.10.,1/6,40000,37.580122,127.051813,2,북서향,"저렴한 상가, 가칭 전농14구역 내 위치, 동의서 징구중",53.85
6,2324762592,일반상가,상가,월세,23.06.10.,2/4,2000,37.573218,127.056533,1,북향,아파트입구 도로변 2층 엘베O 답십리 최고상권,51.55
7,2324767100,일반상가,상가,매매,23.06.10.,1/6,39000,37.582477,127.052219,1,남향,"급매, 전농9구역, 상가매물",33.45
8,2324781394,단지내상가,상가,월세,23.06.10.,1/6,2700,37.581643,127.07022,1,서향,2213 3111. 대단지아파트o인근학교o1층상가o신축급o주차가능,34
9,2324767499,일반상가,상가,매매,23.06.10.,1/6,40000,37.580122,127.051813,1,북서향,"저렴한 상가, 가칭 전농14구역 내 위치, 동의서 징구중",53.85
10,2324752552,일반상가,상가,월세,23.06.10.,1/4,500,37.576877,127.067004,1,동향,깨끗   방 있음  입주협의,40
11,2324780505,일반상가,상가,월세,23.06.10.,1/5,2000,37.567007,127.07191,1,남동향,무권리 1층 아파트 초등학교 인접 판매시설 추천,60
12,2324768829,단지내상가,상가,월세,23.06.10.,2/40,5000,37.5783,127.042203,1,서향,"학원, 병의원 운동시설등 노출좋은상가",96.79
13,2324768621,단지내상가,상가,월세,23.06.10.,2/40,5000,37.5783,127.042203,1,서향,"2층 다용도 상가추천 필라테스,PT추천",109.88
14,2324754248,일반상가,상가,월세,23.06.10.,1/2,10000,37.571435,127.065799,1,서향,"O대로변 전면유리 1층상가O무권리,주차,상하차편리O1,2층 통임대가능",163
