,atclNo,atclNm,rletTpNm,tradTpNm,atclCfmYmd,flrInfo,prc,lat,lng,sameAddrCnt,direction,atclFetrDesc,spc2
0,2324595799,단지내상가,상가,월세,23.06.09.,1/1,3000,37.498553,126.926093,1,남향,"7.5P,  남향 밝은 상가, 전면 로드 상가,   초역세권",24.52
1,2324768949,단지내상가,상가,월세,23.06.10.,1/2,3000,37.498553,126.926093,1,동향,"주출입구쪽에 위치, 입주민과 외부인 출입이 가장 많은 곳",34
2,2324770065,단지내상가,상가,월세,23.06.10.,1/1,2000,37.498553,126.926093,1,남향,"24시영업가능,랜트프리가능,외부노출간판 가능",24
3,2324772235,단지내상가,상가,매매,23.06.10.,1/2,185000,37.486331,126.905236,1,서향,"전용17.74 실사용, 투자가능 구로디지털단지역 초역세권 전면부위치",58.65
4,2324782041,일반상가,상가,월세,23.06.10.,1/5,1500,37.50961,126.945345,1,남동향,"노선상가에위치하여접근성이좋음, 수리되어 깔끔함",45.83
5,2324786580,일반상가,상가,월세,23.06.10.,2/7,13000,37.487458,126.98103,3,북향,이수초역세권 먹자골목 메인 위치좋은 코너자리 노출 최상급 ,103
6,2324786354,단지내상가,상가,월세,23.06.10.,1/1,2000,37.510764,126.959758,1,남향,"가시성우수, 사무실용도추천.",38.32
7,2324753151,단지내상가,상가,월세,23.06.10.,1/2,1500,37.512696,126.930785,1,북향,,20.64
8,2324769602,단지내상가,상가,월세,23.06.10.,2/2,3000,37.498553,126.926093,1,남동향,"외부통유리창,광고효과 굿, 무권리, 상권 굿",86
9,2324772402,단지내상가,상가,월세,23.06.10.,1/2,5000,37.486331,126.905236,1,서향,권리금없음 구로디지털단지역 초역세권 주상복합 상가 1층 신축 첫입주,39.67
10,2324769348,단지내상가,상가,월세,23.06.10.,2/2,4000,37.498553,126.926093,1,남동향,"입주민주출입구 2층 외부통유리창,광고효과 굿,신대방삼거리역 가장가까운상가",68
11,2324769482,단지내상가,상가,월세,23.06.10.,1/2,3000,37.498553,126.926093,1,남향,"상가주출입구 출입문바로옆,위치최상,광고효과 굿",42
12,2324769715,단지내상가,상가,월세,23.06.10.,2/2,3000,37.498553,126.926093,1,남향,"2층 외부간판 노출상가로 광고효과 굿,랜트프리가능,첫입주 무권리",55
13,2324769108,단지내상가,상가,월세,23.06.10.,1/2,10000,37.498553,126.926093,1,남향,"입주민출입구 정면,모든업종가능, 첫입주 무권리",63
14,2324769198,단지내상가,상가,월세,23.06.10.,1/2,4000,37.498553,126.926093,1,남향,"프렌차이즈 추천,외부노출 광고효과굿,랜트프리가능,첫입주무권리",71
15,2324756076,일반상가,상가,월세,23.06.10.,2/5,3000,37.498126,126.923573,1,북서향,대로변 신축 상가 대단지아파트인근  내부화장실2개,66
16,2324769891,단지내상가,상가,월세,23.06.10.,1/2,3000,37.498553,126.926093,1,남향,"대로변 노출 1층상가,랜트프리가능,첫입주무권리",21
17,2324768139,단지내상가,상가,매매,23.06.10.,1/2,124000,37.505748,126.942134,1,남향,,33.39
18,2324773407,단지내상가,상가,월세,23.06.10.,1/2,6000,37.486331,126.905236,1,서향,전용17.74 무권리 구로디지털단지역 초역세권 전면부위치,58.65
19,2324767212,일반상가,상가,월세,23.06.10.,2/4,10000,37.504244,126.936211,1,남향,,300
0,2323208754,일반상가,상가,월세,23.06.02.,2/5,3000,37.498126,126.923573,1,북향,신축첫입주 무권리 대로변 바로앞상가,70
1,2324207797,복합상가,상가,월세,23.06.07.,1/4,2000,37.487176,126.908578,1,남동향,신대방역 5분거리 신축건물 1층 2종 근린생활공간,59.51
2,2324718474,단지내상가,상가,매매,23.06.10.,1/25,43000,37.487533,126.906849,1,동향,,70
3,2324747658,일반상가,상가,월세,23.06.10.,1/3,1000,37.512277,126.935738,2,동향,"저렴한 월세,배달음식점,작은카페,등등",25.38
4,2324731792,일반상가,상가,월세,23.06.10.,B1/5,5000,37.512855,126.943473,1,남동향,노량진 핵심상권 코너 최고입지 무권리 지층 상가,167.33
5,2324705703,단지내상가,상가,월세,23.06.10.,1/29,3000,37.486331,126.905236,3,서향,"도로변 노출 , 즉시사용 가능한 신축 상가 , 롯데시네마 입점",26
6,2324691404,일반상가,상가,월세,23.06.10.,1/3,1000,37.480075,126.971627,1,남서향,대단지아파트 위치한 권리금무 저렴한 점포임대입니다.,36.3
7,2324667340,일반상가,상가,월세,23.06.10.,1/5,7000,37.483624,126.977422,5,북향,1층 무권리 더블역세권 도보7분 노출 최고 깔금한 실내외,95
8,2324689296,일반상가,상가,월세,23.06.10.,4/6,3000,37.504322,126.941633,2,남향,,66
9,2323215498,일반상가,상가,월세,23.06.02.,B1/5,3000,37.498126,126.923573,2,북향,신축첫입주 무권리 대로변 바로앞상가,95
10,2324705596,단지내상가,상가,월세,23.06.10.,1/29,2000,37.486331,126.905236,4,동향,"에스컬레이터 앞 위치 , 양창으로 개방감 좋은 호실 , 즉시사용",17.5
11,2323215273,일반상가,상가,월세,23.06.02.,1/5,3000,37.498126,126.923573,3,북향,신축첫입주 무권리 대로변 바로앞상가,50
12,2324701288,단지내상가,상가,월세,23.06.10.,2/2,3000,37.50388,126.942784,2,북동향,"대단지이면도로상가,유동인구다수,권리금없음,자유업종",73.62
13,2324720569,일반상가,상가,월세,23.06.10.,1/2,2500,37.511601,126.945495,2,남동향,"1,2층 통임대, 음식점, 사무실 등 추천합니다.",42
14,2324691231,단지내상가,상가,월세,23.06.10.,3/4,8000,37.486371,126.973056,1,남서향,잘아는 지인 평수대비 저렴하고 내부깨끗한 상가,284.64
