,atclNo,atclNm,rletTpNm,tradTpNm,atclCfmYmd,flrInfo,prc,lat,lng,sameAddrCnt,direction,atclFetrDesc,spc2
0,2324477784,일반상가,상가,월세,23.06.09.,1/6,5000,37.57766,126.896758,1,서향,무권리 화장실2 주차가능 음식점 이자카야 호프 치킨 추천,88
1,2324109140,일반상가,상가,월세,23.06.09.,2/4,10000,37.552741,126.922075,1,서향,,160
2,2324107645,일반상가,상가,월세,23.06.09.,4/4,2500,37.552741,126.922075,1,서향,	BDB 무권리 파티룸 가능 홍대 메인거리 이면 상가,68.9
3,2324144291,일반상가,상가,월세,23.06.08.,1/6,5000,37.576533,126.894734,4,북향,신축 무권리 층고 높습니다 각종가페나 레스토랑 일식 등등,66
4,2324060537,일반상가,상가,월세,23.06.08.,1/5,5000,37.575546,126.897354,4,서향,무권리 신축 엘리베이터 부분통임대 가능,60.59
5,2324060033,일반상가,상가,월세,23.06.07.,2/5,3000,37.576344,126.894989,1,북서향,무권리 신축 층고높음 엘베있음 주차장 냉난방기 직렬계단,52
6,2324651748,일반상가,상가,월세,23.06.10.,1/2,2000,37.554659,126.907468,1,동향,BDB 망리단길 인근 카페라인 리모델링 무권리 상가,40.67
7,2324674936,단지내상가,상가,월세,23.06.10.,1/23,8000,37.54439,126.949076,1,남향,경의선 숲길라인1층 매장 전용15p 권리저렴,49.58
8,2324675141,단지내상가,상가,월세,23.06.10.,1/23,5000,37.544876,126.947963,1,남향,전용13.2p파크자이 단지 대로변 노출 좋은 매장,43.8
9,2324476324,일반상가,상가,월세,23.06.09.,2/4,4500,37.54866,126.943044,3,남향,,198
10,2324669114,일반상가,상가,월세,23.06.10.,3/4,2000,37.549896,126.91085,1,북향,BDB 합정상가. 리모델링으로 내외관 깔끔,29.75
11,2324789178,복합상가,상가,월세,23.06.10.,1/8,10000,37.543022,126.951193,1,동향,효성해링턴 무권리1층 매장 l 전용38 l 임대료협의,127.4
12,2324591069,일반상가,상가,월세,23.06.10.,2/6,3000,37.557663,126.919805,2,북동향,신축급 수려한 외관 개방감 좋은 상가 테라스 직통연결 계단,63.71
13,2324676056,단지내상가,상가,월세,23.06.10.,1/23,3000,37.544876,126.947963,1,남서향,경의선 숲길 라인 약6p 소형매장 찾는분게 추천,21.1
14,2324675240,단지내상가,상가,월세,23.06.10.,1/23,3000,37.544876,126.947963,1,남향,경의선숲길 접하는 매장 l 통창유리 접근성 우수,36
