,atclNo,atclNm,rletTpNm,tradTpNm,atclCfmYmd,flrInfo,prc,lat,lng,sameAddrCnt,direction,atclFetrDesc,spc2
0,2324730659,일반상가,상가,월세,23.06.10.,2/5,2000,37.55894,126.938534,6,북동향,유동인구 많은,44.81
1,2324482161,일반상가,상가,월세,23.06.09.,1/5,3000,37.579468,126.935866,1,동향,"서대문구청앞보증금3000,월세270,권리금O,바로입주",99
2,2324801175,일반상가,상가,월세,23.06.11.,B1/3,1000,37.594739,126.946447,2,남서향,"수리되어 깨끗한 지하사무실, 공장, 창고 등 용도협의합니다",92.7
3,2324751236,단지내상가,상가,매매,23.06.10.,1/1,119000,37.577255,126.919034,1,남동향,,73
4,2324668097,일반상가,상가,월세,23.06.10.,2/5,5000,37.568201,126.931207,1,북동향,l브리치l 연희맛로 인근 가성비 좋은 내부 컨디션 깔끔한 상가 사무실 Y,148
5,2324763805,일반상가,상가,월세,23.06.10.,1/3,7000,37.558624,126.927841,3,동향,노출성 좋은 일층 상가,122.4
6,2324763223,일반상가,상가,월세,23.06.10.,1/5,10000,37.558406,126.942054,1,동향,l리치l 이대 신축 건물 무권리 1층 상가.,95.86
7,2324735853,일반상가,상가,월세,23.06.10.,1/2,2000,37.594706,126.946403,1,남향,"아파트단지배후 1층상가 남녀노소 폭 넓은 타겟층,디저트,주점 등",37.96
8,2324764125,일반상가,상가,월세,23.06.10.,2/7,10000,37.558874,126.943343,4,서향,스터디카페 자리,171
9,2324798877,일반상가,상가,월세,23.06.10.,1/4,1000,37.557452,126.949016,1,북향,무권리 이편한세상신촌 아파트 단지 상권 이대역도보3분,23.1
10,2324687197,일반상가,상가,월세,23.06.10.,1/4,3000,37.577451,126.909035,2,남향,무권리V카페.학원.교습소.제과점 강력추천 V가재울 뉴타운 사거리,72.64
11,2324775303,일반상가,상가,월세,23.06.10.,1/1,3000,37.572959,126.934412,1,남동향,l브리치l 연희동 고즈넉한 단독주택가 사이 위치한 단독주택형 사무실 Y,69.42
12,2324672049,일반상가,상가,월세,23.06.10.,B1/3,4000,37.567987,126.930617,1,남동향,l홍대리치l연희동 사러가마트 인근 대로변.노출좋은 반지층,92.56
13,2324714762,일반상가,상가,월세,23.06.10.,7/9,5000,37.557317,126.937395,1,북서향,l홍대리치l 신촌역 3분거리.신촌명물거리 메인상권.채광우수.무권리.,127.18
14,2324794865,단지내상가,상가,매매,23.06.10.,1/11,119000,37.577255,126.919034,5,남동향,대단지아파트 대로변 유동인구 많은 1층상가,73.77
15,2324763442,일반상가,상가,월세,23.06.10.,B1/6,2000,37.557219,126.934911,1,북향,l리치l 신촌 먹자골목 무권리 지하1층 상가. 층고3.4M 신촌역 5분,82.64
16,2324722947,일반상가,상가,월세,23.06.10.,1/3,1000,37.562951,126.954981,2,동향,개인사무실이나 가게로 사용하실 분. 주차가능. 조건협의가능,21
17,2324764249,일반상가,상가,월세,23.06.10.,1/5,5000,37.56646,126.929994,6,남서향,따뜻한 연희동 상권 일층,115.7
18,2324748619,일반상가,상가,월세,23.06.10.,2/4,2000,37.578878,126.923212,1,북서향,명지대앞 대로변 노출좋은상가 유동인구풍부 깔끔한인테리어,76.74
19,2324683983,일반상가,상가,월세,23.06.10.,1/1,1000,37.590495,126.946153,1,남동향,신축대단지앞 상가.샐러드.토스트집.저렴한 월세,20
0,2324667893,일반상가,상가,월세,23.06.10.,2/5,2000,37.572849,126.936373,1,북향,l브리치l 연희동 홍보효과 최고 2층 전면 통임대 Y,90
1,2324668015,일반상가,상가,월세,23.06.10.,B1/3,2000,37.566381,126.930298,1,남동향,l브리치l 연희동 초입 대로변 건물 내외부 올리모델링 완료한 지층 상가Y,110.41
2,2324400397,단지내상가,상가,월세,23.06.08.,2/3,1000,37.602631,126.95087,1,남향,,26
3,2324628079,일반상가,상가,월세,23.06.09.,2/3,5000,37.584457,126.938053,1,남동향,,143.96
4,2324647116,일반상가,상가,월세,23.06.09.,3/3,1000,37.590233,126.942087,1,,홍제역 대로변 3층 다용도 사무실 용도 협의,34.8
5,2324646652,일반상가,상가,월세,23.06.09.,B1/3,3000,37.590602,126.942543,1,남서향,"8차선 대로변, 3호선 홍제역세권 인왕시장 라이브카페 지하매장 추천",106
6,2324650941,일반상가,상가,월세,23.06.09.,B1/4,2000,37.558458,126.935086,1,북향,신촌 먹자골목 지하층 무권리 상가 호프 클럽 파티룸,55.54
7,2324649538,일반상가,상가,월세,23.06.09.,3/4,2000,37.586977,126.946536,1,남서향,3호선 홍제역세권 8차선 대로변 사무실 학원 의원 추천,80
8,2324619257,일반상가,상가,월세,23.06.09.,1/3,2000,37.587655,126.944637,1,남동향,"홍제역 도보2분, 권리금500,  현재 카페임",48.54
9,2324635189,일반상가,상가,월세,23.06.09.,B1/6,2000,37.558085,126.93473,1,북동향,신촌먹자골목 지하복층 무권리상가 호프클럽파티룸,132.23
10,2324658945,일반상가,상가,월세,23.06.09.,2/5,3000,37.557687,126.953089,1,북향,"아현역 2층 상가, 아파트 단지 앞, 유동인구 많은 아파트 상권",99.1
11,2324668331,일반상가,상가,월세,23.06.09.,B1/3,3000,37.574178,126.936589,1,남동향,l브리치l 연희동 내부 풀옵션 전면 넓고 가시성 좋은 신축 느낌있는 상가,42.97
12,2324634268,일반상가,상가,월세,23.06.09.,1/3,5000,37.584457,126.938053,1,남동향,카폐 사무실,143.96
13,2324651184,일반상가,상가,월세,23.06.09.,1/4,2500,37.580805,126.911697,4,북동향,파란 0 북가좌 오거리 코너 위치 좋은 1층 상가입니다.,66.1
14,2324678984,일반상가,상가,월세,23.06.09.,3/6,5000,37.557942,126.936058,1,서향,신촌 먹자골목 3층 무권리 상가 호프 클럽 파티룸,119.01
15,2324644359,일반상가,상가,월세,23.06.09.,B1/5,5000,37.558232,126.935383,1,남향,l리치l 신촌 깔끔한 무권리 대형 평수 상가. 연습실. 스튜디오 추천.,135.53
16,2324646490,일반상가,상가,월세,23.06.09.,1/3,10000,37.587965,126.945592,1,남서향,홍제역 대로변 1층 8차선 메인자리 무권리 풍부한 배후수요 컨설팅 사절,80
17,2324662702,복합상가,상가,매매,23.06.09.,1/6,40000,37.570878,126.91296,2,남서향,"성공타워1층, 장기계약, 안정적인 월세보장",28.5
18,2324595354,일반상가,상가,월세,23.06.09.,B1/7,3000,37.566635,126.930409,1,남동향,연희동 메인대로변 지층상가,172.23
19,2324659827,복합상가,상가,매매,23.06.09.,B1/6,80000,37.570878,126.91296,1,북향,"주차완비,넓은상가 성업중",166.6
0,2324545036,일반상가,상가,월세,23.06.09.,1/10,1000,37.557358,126.943988,2,남향,"이대역 역세권, 오피스텔 입점 무권리 상가",12.92
1,2324468306,일반상가,상가,월세,23.06.09.,4/5,3000,37.565802,126.928672,1,북서향,l브리치l 연희맛로 초입 엘베 있는 평수 대비 가성비 좋은 상가 사무실,144.45
2,2324539968,일반상가,상가,월세,23.06.09.,B1/8,39650,37.556321,126.934533,2,남서향,신촌역 초역세권 대로변 유동인구 많은 대형 지하상가,1271.74
3,2324489404,일반상가,상가,월세,23.06.09.,1/8,5000,37.579644,126.911453,3,남서향,무권리 북가좌대로변 1층 상가 준신축급 층고 높음,72.87
4,2324584202,단지내상가,상가,월세,23.06.09.,1/11,4000,37.572268,126.91785,2,,유동인구 많은 만세대이상 대단지 상권,64
5,2324584709,일반상가,상가,월세,23.06.09.,3/3,2000,37.578609,126.936688,1,동향,l브리치l 서대문구청 인근 넓은 평수의 입지 좋은 무권리 3층 상가 K,72.72
6,2324534550,일반상가,상가,월세,23.06.09.,1/2,2000,37.594706,126.946403,1,남서향,"대단지 아파트 입구,현 음식점,1층.",37.96
7,2324463375,일반상가,상가,월세,23.06.09.,1/7,40000,37.555647,126.937833,3,남향,신촌역 초역세권 대로변 1층 깔끔한 무권리 상가,79.34
8,2324588410,일반상가,상가,월세,23.06.09.,1/3,2000,37.581683,126.951002,1,남서향,"무악재초역세권,근처아파트상권좋음,주차가능,통일로대로변 입지좋아요",56
9,2324557740,일반상가,상가,월세,23.06.09.,1/2,2000,37.582748,126.950448,2,남서향,8차대로변 지하철입구 방 화장실있음,66
10,2324549423,일반상가,상가,월세,23.06.09.,2/5,10000,37.55825,126.938099,2,남동향,"신촌명물거리, 유동인구 많은 무권리 상가",205
11,2324468078,일반상가,상가,월세,23.06.09.,2/5,4000,37.565802,126.928672,1,북서향,l브리치l 연희맛로 초입 귀한 대형평수 EV있는 무권리 2층상가 ,165.28
12,2324475803,일반상가,상가,월세,23.06.09.,1/4,1000,37.588878,126.944721,1,동향,"홍제역 도보2분내외,사무실 추천, 주차가능",28
13,2324487671,단지내상가,상가,월세,23.06.09.,1/12,4000,37.558267,126.955864,1,,"2호선아현역,흔들림없는 매출액 나오는 자리,유동인구많음,업종제한없음",39.26
14,2324546141,단지내상가,상가,월세,23.06.09.,1/1,5000,37.572268,126.91785,1,북서향,무권리  대단지 중심상권  유동인구 풍부   횡당보도 및 정류장 앞,62.8
15,2324528414,일반상가,상가,월세,23.06.09.,1/5,10000,37.558406,126.942054,1,북향,l리치l 대현동 신촌역전앞 로터리 무권리 신축 1층 상가 실사진,99
16,2324442035,일반상가,상가,월세,23.06.08.,1/3,2000,37.562951,126.954981,1,동향,,37
17,2324450455,일반상가,상가,월세,23.06.08.,1/4,4000,37.585622,126.949444,3,동향,"무권리, 학원가위치, 교습소추천, 내부화장실 및 씽크대 설치",105.85
18,2324433153,일반상가,상가,월세,23.06.08.,2/3,2000,37.587825,126.945746,1,남서향,"초역세권 대로접 무권리 상가,미용실,스튜디오,교습소 굿",38
19,2324472338,일반상가,상가,월세,23.06.08.,4/6,3500,37.571296,126.960874,1,북동향,,89.75
0,2324426004,일반상가,상가,월세,23.06.08.,3/3,3000,37.590633,126.941754,1,북동향,"역세권 대로접,무권리,7080노래주점,악기연주연습,사무실 등",106.78
1,2324421084,일반상가,상가,월세,23.06.08.,1/3,2000,37.585973,126.946771,1,북동향,"무권리,7차선3거리코너시야각270도확보,와이드로드뷰,노출가시성굿",33
2,2324419852,일반상가,상가,월세,23.06.08.,2/4,2000,37.558244,126.934841,1,남동향,O실사진O코너상가O귀한무권리O가시성좋음O신촌메인O,39.67
3,2324418178,단지내상가,상가,매매,23.06.08.,1/2,45000,37.593388,126.941622,1,남서향,"사거리대로접1층,월세안고,신축급,주차1",31.51
