,atclNo,atclNm,rletTpNm,tradTpNm,atclCfmYmd,flrInfo,prc,lat,lng,sameAddrCnt,direction,atclFetrDesc,spc2
0,2324437909,일반상가,상가,월세,23.06.09.,B2/5,5000,37.51478,127.019129,1,남향, 무권리 상가 신사역 인근 신축 특에이급 상가,123.03
1,2324438731,일반상가,상가,월세,23.06.09.,2/5,3000,37.513948,127.017893,1,북동향,잠원동 무권리 상가 넥타이 상권 음식점 ,99.17
2,2324354310,복합상가,상가,월세,23.06.09.,B4/14,30000,37.514389,127.019175,1,서향,입지좋은 멀버리 힐스 대형상가,325.92
3,2324428765,일반상가,상가,월세,23.06.09.,1/14,5000,37.515766,127.01921,1,북서향,"실사진O신사역 초역세권 S급자리 ,저렴한 임대료, 알짜배기 1층상가",66.25
4,2324207815,일반상가,상가,월세,23.06.09.,1/5,10000,37.477105,126.985486,1,남서향,"사당역 코앞 감성카페, 와인바 강추 자리 여기 감각적인 거리 신축",156.91
5,2324439747,일반상가,상가,월세,23.06.09.,B1/5,5000,37.51478,127.019129,1,남향,무권리 상가 신사역 인근 신축 특에이급 상가,68.04
6,2324105574,일반상가,상가,월세,23.06.08.,B1/6,10000,37.4931,126.991574,1,남향,A함지박사거리 대로변 지하이지만 노출 좋은 복층구조의 무권리 상가 사무실,163.62
7,2324244212,일반상가,상가,월세,23.06.08.,2/5,7000,37.488982,127.030636,2,북향,뱅뱅사거리 대로변 2층 식당 원복 가능,208.26
8,2324124072,일반상가,상가,월세,23.06.08.,1/4,2000,37.471873,127.040077,2,북향,"역세권 상가, 네일 아트, 공방 등 목 좋은 자리, 식당불가",26.64
9,2323955348,일반상가,상가,월세,23.06.08.,1/2,10000,37.478174,126.983588,1,서향,"사당역 코앞 먹자골목 초입부 술집,카페 최적의 장소 통건물 넓다",167.6
10,2323838511,일반상가,상가,월세,23.06.07.,1/5,1000,37.475076,127.043637,1,,양재동 매출좋은 저렴한 1층 까페,27.93
11,2323581766,일반상가,상가,월세,23.06.07.,2/15,47088,37.499743,127.025584,2,남동향,실사진O 강남역 역세권 대형 메인 건물 입점 찬스,324.29
12,2323770831,단지내상가,상가,월세,23.06.07.,B1/20,10000,37.48582,127.029172,1,동향,사진 有 현재 음식점 운영중 잘되서 나오는 매물입니다.,30.71
13,2323581824,일반상가,상가,월세,23.06.07.,2/15,18120,37.499743,127.025584,3,남동향,실사진O 강남역 역세권 대형 메인 건물 입점 찬스,124.8
14,2323581642,일반상가,상가,월세,23.06.07.,1/15,81648,37.499614,127.025856,1,남동향,실사진O 강남역 역세권 대형 메인 건물 입점 찬스,324.27
15,2323581715,일반상가,상가,월세,23.06.07.,1/15,34391,37.499743,127.025584,2,남동향,실사진O 강남역 역세권 대형 메인 건물 입점 찬스,105.57
16,2323530487,일반상가,상가,월세,23.06.05.,1/5,15000,37.478327,127.040041,4,,대로변 무권리 전용68P 1층 상가,224
17,2323495643,일반상가,상가,월세,23.06.05.,1/3,10000,37.493151,127.015457,4,,,66.12
18,2324690718,일반상가,상가,매매,23.06.10.,B1/3,180000,37.480042,126.99896,1,서향,"투자가치, 방배역세권, 재건축예정, 상가 아파트로 분양",267.24
19,2324809468,일반상가,상가,월세,23.06.11.,2/4,3000,37.47001,127.025302,1,북서향,현필라테스운영중  삼거리 코너자리 위치좋음,152
0,2324599643,일반상가,상가,월세,23.06.09.,2/13,5000,37.514389,127.019175,1,,777 더블 역세권 신사역에 2분거리 대형 근린 상가보고 가세요,47.02
1,2324675115,단지내상가,상가,월세,23.06.10.,B1/5,2000,37.491841,127.027184,1,동향,마트옆 자리최고 케잌 쿠키 베이커리 반찬 등 추천자리,22.04
2,2324675072,단지내상가,상가,월세,23.06.10.,1/5,3000,37.491841,127.027184,1,남향,단독사용 대단지중심상권,17.02
3,2324741232,일반상가,상가,월세,23.06.10.,1/6,10000,37.486106,126.985187,3,남향,원상복구가능 대로변 가구점 전시장 사무실 병의원 강력추천 빠른입주가능,267.76
4,2324719507,일반상가,상가,월세,23.06.10.,1/7,20000,37.493602,127.001994,1,남동향,"코너노출간판 위치굿 무권리 1,2층통 전체사용",735.48
5,2324765565,일반상가,상가,월세,23.06.10.,1/3,2000,37.481269,127.012481,1,동향,"예술의 전당 정문 대로변 1층, 가시성 및 위치 최상의 상가사무실",16.5
6,2324789592,일반상가,상가,월세,23.06.10.,1/7,12000,37.493886,127.017404,3,남향,교대역시설좋은 식당자리,115.7
7,2324763474,일반상가,상가,월세,23.06.10.,B1/7,5000,37.464708,127.034432,1,북서향,대형평수 지하 상가｜다양한 업종｜원상복구｜무권리,290
8,2324767773,일반상가,상가,월세,23.06.10.,1/6,3000,37.484159,126.9914,1,남서향,아파트 후문 큰길 무권리 1층 상가  교습소추천,88.62
9,2324757376,일반상가,상가,월세,23.06.10.,1/5,2000,37.487314,127.008056,1,동향,서초역 역세권 유동인그많은 도로에 위치한 신축급 상가,50
10,2324770340,일반상가,상가,월세,23.06.10.,4/10,200,37.505515,127.007087,1,북향,고속터미널상가  창고 수선 사무실,6.41
11,2324695149,일반상가,상가,월세,23.06.10.,1/5,2000,37.481933,126.984237,2,서향,현  디저트카페로써 깨끗하고 분위기좋은코너건물 입니다,39.6
12,2324710383,일반상가,상가,월세,23.06.10.,1/5,10000,37.477105,126.985486,1,남서향,사당역세권 감성카페 신축 시설최상급 위치좋은 A급상가,156.91
13,2324782301,일반상가,상가,월세,23.06.10.,1/5,2000,37.489001,126.987794,4,남향,실사진 전용17 주차3대 용이 1층 무권리 상가임대 도로변 미용실등추천,56.24
