,atclNo,atclNm,rletTpNm,tradTpNm,atclCfmYmd,flrInfo,prc,lat,lng,sameAddrCnt,direction,atclFetrDesc,spc2
0,2324415390,일반상가,상가,월세,23.06.09.,2/3,3000,37.566587,127.05246,1,북서향,"답십리역바로앞 큰길노출 필라테스,미용실등 환영",99
1,2323784165,일반상가,상가,월세,23.06.07.,1/4,2000,37.537103,127.05109,1,남동향,주차2.인테리어 잘 되어있는 1층상가. 헤어숍 베이커리 공방 추천.,49.5
2,2323783187,일반상가,상가,월세,23.06.07.,2/5,6000,37.541854,127.058373,2,서향,"연무장길 무.권.리.60p업종제한없음, 유동인구최상 A급매물, 주차 EV",196.21
3,2323492732,일반상가,상가,월세,23.06.05.,3/5,6000,37.541854,127.058373,1,서향,연무장길 옥탑 야외 테라스 포함  60P 사용,196.21
4,2323479215,일반상가,상가,월세,23.06.05.,1/4,2000,37.542311,127.055473,14,북동향,"연무장 메인길 가시성 좋은 1층 코너자리, 유동인구 풍부",47
5,2324480236,단지내상가,상가,매매,23.06.10.,B1/3,250000,37.564992,127.045027,1,남동향,"재건축아파트 구분상가, 대지지분110p",303
6,2324480266,단지내상가,상가,월세,23.06.10.,B1/3,10000,37.564992,127.045027,1,남동향,"구분상가, 대로변, 무료주차5대",303
7,2324676588,단지내상가,상가,매매,23.06.10.,2/5,49000,37.543275,127.011569,1,,최상의 입구 위치. 자리 좋음.,20.24
8,2324472348,일반상가,상가,월세,23.06.09.,3/5,5000,37.547057,127.046725,1,동향,전용 14 뚝섬역 초역세권의 신축건물로서 외관부터 깔끔한 점포,52.37
9,2324804479,일반상가,상가,월세,23.06.11.,B1/4,2000,37.564917,127.040984,1,동향,"상하차편리  마장역도보2분  공장,창고등",179
10,2324806067,단지내상가,상가,매매,23.06.11.,B2/4,58000,37.552839,127.022455,1,동향,안정적인 상권 수익률,24.13
11,2324773906,일반상가,상가,월세,23.06.10.,5/5,3000,37.545981,127.049522,14,남향,뚝섬역초역세권 신축 5층 루프탑 사용가능 상가 ,57.74
12,2324773877,일반상가,상가,월세,23.06.10.,3/3,5000,37.547294,127.04033,1,서향,서울숲 아뜰리에길 무권리 루프탑 이용 가능한 매물입니다,57.62
13,2324772207,단지내상가,상가,월세,23.06.10.,1/2,2000,37.569377,127.024706,1,동향,빠른입점 가능  배달업  이미용  가능,26.93
14,2324779210,단지내상가,상가,매매,23.06.10.,1/2,50000,37.569377,127.024706,1,북향,상가는 꾸준하게 좋은 수익을 줍니다. 효자아들 두기 텐즈몰 상가,41.17
15,2324783375,단지내상가,상가,매매,23.06.10.,1/1,27000,37.566882,127.024592,1,서향,,32
16,2324777952,일반상가,상가,월세,23.06.10.,1/2,10000,37.566943,127.03046,1,남서향,전용면적 넓은 양지사거리 코너 점포,198.34
17,2324782404,일반상가,상가,월세,23.06.10.,1/5,13000,37.557948,127.030165,1,남동향,행당역대로변 위치좋은점포 성업중,70
18,2324779309,일반상가,상가,월세,23.06.10.,1/5,5000,37.565557,127.030744,1,동향,1층 무권리 넓직한 위치좋은 상가점포,134.19
19,2324775232,일반상가,상가,월세,23.06.10.,1/4,10000,37.539626,127.056764,2,남서향,인근 유명 맛집 다수로 시너지 기대 높은 무권리 매물입니다.,128.93
0,2324692675,일반상가,상가,월세,23.06.10.,1/4,10000,37.548796,127.055552,1,남향,"실사용 148㎡, 무권리 상가, 소형 차량 주차, 컨디션 GOOD",107.3
1,2324751759,일반상가,상가,월세,23.06.10.,1/2,1500,37.561062,127.039574,1,,왕십리역 6번출구 미니광장 앞 너무 예쁜점포 악세사리샵 공방,16.5
2,2324668841,일반상가,상가,월세,23.06.10.,1/4,30000,37.548448,127.045716,1,남서향,숲세권 나무뷰 리모델링 첫입주 팝업가능,314.52
3,2324744265,단지내상가,상가,월세,23.06.10.,1/25,8000,37.565047,127.028852,1,남향,상왕십리역 연결 무권리 1층 상가,112.03
4,2324667765,일반상가,상가,월세,23.06.10.,3/5,10000,37.562601,127.032803,1,북향,"상왕십리역, 엘레베이터완비,대형학원,병원, 장애인시설완벽설치되어있습니다.",266
5,2324733037,단지내상가,상가,월세,23.06.10.,1/14,1800,37.550299,127.051556,4,동향,1층 무권리상가 신축건물 전용11.9 다양한 업종가능,39.44
6,2324767794,일반상가,상가,월세,23.06.10.,1/4,3000,37.538455,127.052199,1,남서향,"無무권리 성수동 조용한 골목 상가점포,사무실,실24",79.34
7,2324750340,일반상가,상가,월세,23.06.10.,1/5,19000,37.547841,127.042714,1,남서향,테라스 까지 사용 가능한 아뜰리에 1층,238.11
8,2324747096,일반상가,상가,월세,23.06.10.,2/3,4000,37.564338,127.041507,3,,전용30폄 올리모델링 노출천정 쇼핑몰 스튜디오 스터디카페 ,102
9,2324664963,일반상가,상가,월세,23.06.10.,B1/11,5000,37.541588,127.053464,1,북향,,133.53
10,2324692822,일반상가,상가,월세,23.06.10.,B1/4,2000,37.53921,127.061688,1,북동향,"영동대교 북단 버스 정류장 인근, 높은 층고, 즉시입",150.88
11,2324727636,일반상가,상가,월세,23.06.10.,3/5,5900,37.548401,127.021396,1,남향,유동인구많음 . 금남시장가 . 무권리 . 전업종추천 . 입점협의,135.5
12,2324689401,일반상가,상가,월세,23.06.10.,2/3,3000,37.5492,127.050583,4,남서향,"전15 뚝섬역역세권 채광좋고 내부 인테리어된 사무실 공방,작업실 강추",52
13,2324727468,일반상가,상가,월세,23.06.10.,1/2,1000,37.551622,127.021469,2,남서향,소형상가 . 부가세X . 저렴한임대료 . 무인점포 . 권리금유,20
14,2324693155,일반상가,상가,월세,23.06.10.,B1/3,2000,37.553756,127.020352,1,북향,"냉.난방시설.싱크대있음, 실내화장실, 저렴한 월세",29.95
15,2324680135,단지내상가,상가,매매,23.06.10.,1/1,40000,37.566882,127.024592,1,동향,우량임차인 입점 안정적인 수익 상가 매매,48.02
16,2324719399,일반상가,상가,월세,23.06.10.,1/3,10000,37.542065,127.047815,1,남서향,아기자기한 핫플들이 모이고 있는 새촌마을 3면 코너건물통임대 전용  35,114.72
17,2324713709,일반상가,상가,월세,23.06.10.,1/4,2000,37.566654,127.032537,2,남향,자유업 가능한 상가점포 임대,33.03
18,2324713148,일반상가,상가,월세,23.06.10.,B1/5,12000,37.56272,127.032567,1,동향,왕십리에 이만한 대형평수 없는 지하상가 임대,376.86
