,atclNo,atclNm,rletTpNm,tradTpNm,atclCfmYmd,flrInfo,prc,lat,lng,sameAddrCnt,direction,atclFetrDesc,spc2
0,2324688540,단지내상가,상가,매매,23.06.10.,1/1,20000,37.603783,127.019453,1,,추천 단지상가 적은금액으로 투자 안전하고좋습니다,21.64
1,2324726724,단지내상가,상가,월세,23.06.10.,1/2,3000,37.596332,127.013804,1,북서향,강추위치좋은 무권리상가 커피 호프 다용도,55
2,2324774744,단지내상가,상가,월세,23.06.10.,1/41,5000,37.601833,127.040461,1,남동향,월곡역 초역세권 대로변 유동인구풍부한 상가 양쪽 출입문,46.24
3,2324737294,단지내상가,상가,월세,23.06.10.,2/2,3000,37.608079,127.026011,1,북동향,O추천  대단지 신규아파트 유동인구많음 다양한업종가능,18
4,2324760820,일반상가,상가,월세,23.06.10.,1/4,2000,37.591925,127.015437,1,북향,돈암시장 1층 무권리,37
5,2324776649,단지내상가,상가,월세,23.06.10.,B2/1,5000,37.611185,127.027276,1,북동향,,45.01
6,2324733652,일반상가,상가,월세,23.06.10.,1/5,4000,37.602261,127.02149,1,남향,Y 파스타집 운영했던 자리로 유동인구 많고 시장입구에 위치해 있습니다 Y,44.4
7,2324745279,단지내상가,상가,월세,23.06.10.,1/2,5000,37.611185,127.027276,1,남동향,,45
8,2324738617,단지내상가,상가,월세,23.06.10.,1/2,3000,37.611185,127.027276,1,남서향,O제일  무권리 배달업종  최적입지추천  대단지 밀집지역  바로입점가능,36.81
9,2324767994,단지내상가,상가,매매,23.06.10.,2/4,40000,37.607846,127.045451,1,동향,,96
10,2324792657,단지내상가,상가,월세,23.06.10.,1/3,5000,37.609617,127.036051,1,서향,대단지 단지상가.체인점.분식.음료.판매점.의류.다용도점포 추천급매,23.9
11,2324747110,일반상가,상가,월세,23.06.10.,1/3,4000,37.60484,127.032018,1,,"1층, 지하1층 통임대. 위치 최상. 노출도 최상. 각각 임대도 가능",169.2
12,2324773177,일반상가,상가,월세,23.06.10.,3/5,4000,37.613713,127.064696,4,남향,"1,6호선역세권상가V병의원V운동시설V사무실및다용도점포",139
13,2324777778,단지내상가,상가,매매,23.06.10.,2/2,5000,37.607033,127.038378,1,서향,,15.68
14,2324723040,일반상가,상가,월세,23.06.10.,2/2,3000,37.599186,127.034141,2,동향,"8차선도로 버스정류장앞, 횡단보도앞",66
15,2324751785,단지내상가,상가,월세,23.06.10.,1/2,2500,37.607033,127.038378,1,서향,대단지상가 1층 성업중인 프랜차이즈이며 모든업종가능,32.76
16,2324757098,일반상가,상가,월세,23.06.10.,B1/5,1000,37.604223,127.033232,1,남향,"삼거리 코너 상가로 가시성 뛰어남, 주차는 일시 주차만 가능",59.5
17,2324762668,단지내상가,상가,월세,23.06.10.,2/2,5000,37.608079,127.026011,1,동향,O 대단지상가 유동인구많아요 병원 학원추천 ,58.77
18,2324777643,단지내상가,상가,매매,23.06.10.,1/3,20000,37.607033,127.038378,1,서향,대단지아파트내 상가  현재영업중,12.42
