,atclNo,atclNm,rletTpNm,tradTpNm,atclCfmYmd,flrInfo,prc,lat,lng,sameAddrCnt,direction,atclFetrDesc,spc2
0,2324455909,복합상가,상가,월세,23.06.09.,1/23,49000,37.514653,127.107441,1,서향,송파구청 석촌호수 앞 유동인구 최고 75p,248.46
1,2324426167,일반상가,상가,월세,23.06.09.,7/7,5000,37.495478,127.124418,1,북서향,실사 에이스급 전용넓음 주차편리 3,204
2,2324391006,복합상가,상가,월세,23.06.09.,B1/16,3000,37.484809,127.121521,1,북향,테라타워 지하1층 30p 상가,99.6
3,2324388917,일반상가,상가,월세,23.06.09.,B1/5,1500,37.505871,127.110431,1,북서향,I 실35 I 층고높은 I 무권리 지하 I 적극추천 I,120
4,2324361695,일반상가,상가,월세,23.06.09.,1/6,30000,37.506827,127.11981,1,서향,VIVA청춘 송파구 최대사이즈 전시장 쇼룸 전면뷰 환상,380.17
5,2324224546,일반상가,상가,월세,23.06.08.,1/5,2500,37.504144,127.097343,7,,"실사진O 석촌호수 주변 횡단보도 앞 1층 무권리 자유업, 전용9",29.75
6,2324092218,일반상가,상가,월세,23.06.08.,9/10,9000,37.51141,127.083215,1,북향,잠실새내역 먹자골목입구 9층 병의원건물,181.8
7,2324178757,일반상가,상가,월세,23.06.08.,6/11,3500,37.511467,127.081723,1,북향,잠실새내역 병원건물 6층 37P,122.31
8,2324101602,일반상가,상가,월세,23.06.08.,8/10,10000,37.511394,127.083653,1,북향,잠실새내역 대로변 병원건물 8층전체 38P,125.4
9,2323912810,일반상가,상가,월세,23.06.07.,1/11,50000,37.505395,127.106317,1,남향,석촌역 바로앞 대형상가 109,330.58
10,2323687326,일반상가,상가,월세,23.06.07.,1/5,3000,37.481091,127.126431,1,동향,아파트 인접 코너상가 30P 장지역도보 3분,105.45
11,2324667376,단지내상가,상가,매매,23.06.10.,2/13,80000,37.483542,127.121763,1,북향,,55.41
12,2324666434,단지내상가,상가,매매,23.06.10.,1/15,75000,37.485331,127.119169,1,남동향,"상가 투자 매매, 당신이 이 점포의 주인공, 목 좋은 코너 자리",40.93
