,atclNo,atclNm,rletTpNm,tradTpNm,atclCfmYmd,flrInfo,prc,lat,lng,sameAddrCnt,direction,atclFetrDesc,spc2
0,2323839240,일반상가,상가,월세,23.06.07.,6/6,15000,37.527386,126.864481,1,남서향,목동역오거리에서 바로1분거리 목동7단지주출입구에 위치하고 주변사무실 주택,297.11
1,2324324323,일반상가,상가,월세,23.06.09.,4/5,7000,37.546857,126.86319,1,서향,"등촌역 역세권, 단독층 사용, 전용80, 학원, 필라테스, 사무실 추천",264.47
2,2324766038,일반상가,상가,월세,23.06.10.,3/5,7000,37.519078,126.842796,1,남동향,"실사진, 엘베, 대로변 횡단보도 앞 코너 건물 3층, 병의원 추천",214.87
3,2324689985,일반상가,상가,월세,23.06.10.,1/2,2000,37.521205,126.857799,2,남향,무권리 .배달음식가능.목동힐스테이트 바로앞,33
4,2324687299,일반상가,상가,월세,23.06.10.,1/5,5000,37.52556,126.850467,1,남서향,"1층 무권리, 전면상가, 상가 앞 주차가능, 차량용품점 추천",106.82
5,2324750112,단지내상가,상가,매매,23.06.10.,1/1,46000,37.517879,126.844215,1,남동향,금액조정여지있고 현임차인 영업중이고 갭투자로 적극추천 동사무소 근처임,25.77
6,2324731667,일반상가,상가,매매,23.06.10.,3/5,47000,37.537272,126.871875,1,남향,"신목중학교정문앞,확장올수리,현학원운영중,세안고,부가세별도",64.08
7,2324718322,일반상가,상가,월세,23.06.10.,1/3,1500,37.523021,126.854286,2,서향,,37
8,2324692109,일반상가,상가,월세,23.06.10.,3/5,7000,37.517609,126.84243,1,남향,"신축상가,3층단독사용, 병의원한의원추천,권리금없음,금액조율가능",187.07
9,2324758058,일반상가,상가,월세,23.06.10.,1/2,3000,37.527642,126.861906,2,서향,구조 예쁜 1층 상가 바로 입주 가능 내부화장실 애견까페  공방추천,63.45
10,2324751841,일반상가,상가,월세,23.06.10.,1/5,1000,37.527623,126.853515,2,북동향,대로변 노출 아주 좋음  무권리1층 저렴한 월세,38
11,2324703027,일반상가,상가,월세,23.06.10.,2/4,2000,37.540488,126.864034,1,서향,등촌대로변 평수대비 저렴한 월세 내부실사유,100
12,2324767136,단지내상가,상가,월세,23.06.10.,1/2,2000,37.535869,126.867016,1,북향,"강서고인근,무권리1층상가,바로입주가능",33
13,2324716484,일반상가,상가,월세,23.06.10.,1/4,5000,37.521924,126.862148,2,북동향,카페.남부법원 옆 대로변.코너점포상가,54
14,2324775004,단지내상가,상가,월세,23.06.10.,1/1,2000,37.516598,126.841914,1,서향,3천세대 대단지아파트상가   유동인구 많은곳 모든업종가능,36.09
15,2324743982,일반상가,상가,월세,23.06.10.,1/1,2000,37.517879,126.844215,1,북서향,전용넓은 귀한매물,36.08
16,2324751636,단지내상가,상가,매매,23.06.10.,1/2,58000,37.520311,126.856462,1,남향,대단지아파트상가 1층 매매  월세들어가있음,53.4
17,2324767635,일반상가,상가,월세,23.06.10.,1/2,1000,37.519433,126.852496,1,,"신정네거리도보3분,유동인구많음,대단지아파트정문앞,빠른입주가능,권리조정가",19
18,2324674028,일반상가,상가,월세,23.06.09.,3/4,2000,37.525311,126.859729,1,북향,목동역신정역도보5분 대로변 전면이 확트인 3층 상가,136.86
19,2324678305,일반상가,상가,월세,23.06.09.,1/2,2000,37.519568,126.852436,2,남서향,"대단지아파트정문앞, 입주협의. 권리금협의. 내부화장실. 수도시설있음.",32
0,2324657852,일반상가,상가,매매,23.06.09.,8/8,140000,37.521771,126.860853,1,북향,안정적인 수익률 최강 법원 대로변 중간기둥없음,367.88
1,2324663538,일반상가,상가,월세,23.06.09.,1/2,2000,37.521066,126.85667,1,남향,,42.9
2,2324658983,일반상가,상가,월세,23.06.09.,3/3,2000,37.549896,126.864615,1,남향,염창역세권 평수대비 저렴한 월세 초역세권매물,52
3,2324654112,일반상가,상가,월세,23.06.09.,2/7,20000,37.529427,126.864593,1,서향,교차로 코너 대로변 노출좋은자리 2층 전체 대형평수,498.4
4,2324649337,일반상가,상가,월세,23.06.09.,3/4,1500,37.5329,126.868982,2,북향,"곰달래로대로변상가점포.사무실.주차.내부화장실.베란다.수도.칠,수리됐음",98.94
5,2324633001,일반상가,상가,월세,23.06.09.,3/4,3000,37.521345,126.856737,4,북향,대로변 코너건물 횡단보도앞 가시성좋음 업종무관,162.64
6,2324649496,일반상가,상가,월세,23.06.09.,4/5,5000,37.546271,126.863032,1,서향,"실80 등촌역 도보7분 대로변 4층상가 계단2개 학원, 운동시설 강추",264.46
7,2324663720,일반상가,상가,월세,23.06.09.,2/5,5000,37.523085,126.864331,2,동향,남부법원 도보2분 엘베있고 룸이 있는 조용한 사무실,200.5
8,2324662898,일반상가,상가,매매,23.06.09.,1/1,50000,37.517879,126.844215,1,동향,,25.75
9,2324667062,일반상가,상가,월세,23.06.09.,5/5,3000,37.521728,126.855954,1,남향,내부화장실 깔끔인테리어 베란다O 엘리베이터O,167.58
10,2324657494,일반상가,상가,매매,23.06.09.,6/8,420000,37.521771,126.860853,1,북향,남부법원 대로변 주차편리 안정적인 수익형 투자매물,1345.84
11,2324653654,복합상가,상가,월세,23.06.09.,4/5,5000,37.546271,126.863032,1,북서향,등촌역 도보거리 대로변 상가건물,264.48
12,2324667228,일반상가,상가,월세,23.06.09.,4/5,4000,37.521728,126.855954,2,남향,무권리 스터디카페 엘리베이터 깔끔인테리어,167.58
13,2324622816,일반상가,상가,월세,23.06.09.,4/6,5000,37.525637,126.858869,1,남동향,"실평수83, 신정역 인근 도로변,  4층 단독 층 사용가능 대형평수",274.24
14,2324621245,일반상가,상가,월세,23.06.09.,1/4,3000,37.526858,126.861398,1,동향,,59.22
15,2324626970,일반상가,상가,월세,23.06.09.,1/2,2000,37.519568,126.852436,2,서향,"신정네거리역도보3분,월세저렴,내부방,화장실있음,공부방추천,하시",28
16,2324653377,복합상가,상가,월세,23.06.09.,3/5,10000,37.546271,126.863032,1,북서향,등촌역 대로변 2개층 단독사용 상가,528.92
17,2324648633,일반상가,상가,월세,23.06.09.,3/7,5000,37.517171,126.838897,3,남동향,"병의원, 사무실등  대로변 코너 위치",132.36
18,2324647522,일반상가,상가,월세,23.06.09.,5/6,2000,37.516698,126.839147,2,남동향,대로변코너 위치A급 모든업종가능 관리비무,165.98
19,2324663146,일반상가,상가,월세,23.06.09.,1/2,3000,37.521089,126.856837,1,남향,,39.6
0,2324559575,일반상가,상가,월세,23.06.09.,B1/4,60000,37.539157,126.828336,2,북향,대로변 통임대 전시장추천 드립니다.,1538
1,2324560169,일반상가,상가,월세,23.06.09.,3/16,15000,37.521462,126.85291,2,남향,신정네거리역 초역세권 무권리 가시성최고 유동인구 상주 인구 풍부,247
2,2324556743,일반상가,상가,월세,23.06.09.,1/4,7000,37.521345,126.856737,1,북향,"대로변코너건물,1층,권리금있음",67
3,2324552237,일반상가,상가,매매,23.06.09.,1/1,100000,37.519023,126.851621,1,남향,,57.75
4,2324541343,일반상가,상가,월세,23.06.09.,1/2,1000,37.520445,126.853392,1,북향,신정네거리먹자골목 귀한1층,30
5,2324540985,일반상가,상가,월세,23.06.09.,B1/4,5000,37.519289,126.852972,1,동향,권리금없는 단란주점노래방,146.01
6,2324541764,일반상가,상가,월세,23.06.09.,1/2,1000,37.520445,126.853392,1,북향,신정네거리먹자골목 귀한1층,30
7,2324555449,복합상가,상가,월세,23.06.09.,1/9,6000,37.524912,126.856878,6,북향,"역세권 대로변1층상가,권리금협의가능",88.11
8,2324538084,단지내상가,상가,매매,23.06.09.,1/1,120000,37.519023,126.851621,1,동향,,59.2
9,2324562591,일반상가,상가,매매,23.06.09.,1/20,56000,37.515061,126.860772,1,서향,,59.77
10,2324556359,일반상가,상가,월세,23.06.09.,1/3,5000,37.522175,126.852221,3,남동향,"매출많은 체인점 인수가능, 별도창고공간있음, 권리금조정가",99
11,2324559623,일반상가,상가,월세,23.06.09.,3/16,5000,37.521462,126.85291,4,남향,신정네거리역 대로변 가시성 우수 무권리 업종제한 없음,92.42
12,2324550575,일반상가,상가,월세,23.06.09.,1/2,2000,37.520445,126.853392,2,북향,먹자골목에위치,50
