,atclNo,atclNm,rletTpNm,tradTpNm,atclCfmYmd,flrInfo,prc,lat,lng,sameAddrCnt,direction,atclFetrDesc,spc2
0,2324270463,일반상가,상가,월세,23.06.09.,1/14,5000,37.521356,126.885705,1,,신축 첫입주. 무권리 노출도 좋은 문래동 상가자리. 아파트밀집,33.85
1,2324442103,일반상가,상가,월세,23.06.09.,4/8,8500,37.519658,126.889047,2,동향,"대로변 사거리 상가, 지하에 주차하시고 방문하세요.",307.33
2,2324271519,일반상가,상가,월세,23.06.09.,B1/11,12000,37.52787,126.916896,1,북동향,실89. 사진. 국회앞 깔끔한 건물. 무권리. 시설완비. 참치횟집 추천,295.9
3,2324132004,일반상가,상가,월세,23.06.08.,1/9,10000,37.520531,126.903084,1,남향,"권리금 무, 무상시설인수 가능, 카페,베이커리등 추천,  타업종가능",204.95
4,2323787652,복합상가,상가,월세,23.06.07.,1/15,6000,37.520368,126.897975,1,동향,"어서오세요, 착한임대료, 홍보효과 아주좋은곳, 문래역4분",82.32
5,2324480301,복합상가,상가,월세,23.06.09.,2/2,5000,37.523392,126.905623,2,동향,지하철역연결 주복상가 병의원 강추 전용 32,105.65
6,2324540507,일반상가,상가,월세,23.06.09.,B1/11,4000,37.529807,126.921979,1,북서향,,95.86
7,2324694913,일반상가,상가,월세,23.06.10.,1/6,5000,37.505277,126.911805,9,북서향,신축.대단지아파트앞.유동인구많은코너.노출효과좋아요,31.19
8,2324704042,단지내상가,상가,매매,23.06.10.,1/1,69000,37.523405,126.886278,1,북향,5호선 양평역 신축 아파트 상가,43.28
9,2324719105,단지내상가,상가,월세,23.06.10.,1/17,3000,37.494424,126.907068,1,북동향,"대단지아파트,두피관리,페디큐어,네일등 판매시설굿",49.58
10,2324719785,일반상가,상가,월세,23.06.10.,2/4,2000,37.508591,126.900495,1,남향,"실30,2층,사무실.상가,대로변,아트자이.푸르지오아파트배후세대",100
11,2324787225,일반상가,상가,월세,23.06.10.,B1/4,3000,37.517674,126.889152,2,서향,,121.36
12,2324787545,일반상가,상가,월세,23.06.10.,1/1,5000,37.523405,126.886278,2,서향,중흥S클래스 1층 대로변 무권리 상가  전용 15,50
13,2324716275,일반상가,상가,월세,23.06.10.,1/2,3000,37.509574,126.904068,1,서향,"올리모델링,1층,주방겸사무실,무권리에어컨,주차가능,즉시입주가능",82.64
14,2324788929,일반상가,상가,월세,23.06.10.,1/10,10000,37.519926,126.891349,1,남향,문래 힐스테이트 앞   귀한 무권리 상가   전용 60.88,201.25
15,2324788623,일반상가,상가,월세,23.06.10.,3/8,4000,37.519231,126.892211,3,북동향,문래역 역세권 대로변 귀한 무권리 3층 상가,108
16,2324779922,일반상가,상가,월세,23.06.10.,1/5,1500,37.503144,126.92062,1,서향,신축대단지아파트옆 유동인구 있는곳 대중교통편리한역세권 권리금 없슴,21
