,atclNo,atclNm,rletTpNm,tradTpNm,atclCfmYmd,flrInfo,prc,lat,lng,sameAddrCnt,direction,atclFetrDesc,spc2
0,2324446416,일반상가,상가,월세,23.06.09.,1/3,3000,37.531569,126.993154,1,북향,대로변 무권리1층 상가입니다. 클릭클릭,16
1,2323533296,일반상가,상가,월세,23.06.05.,1/1,1000,37.52569,126.961912,1,북향,용산역 인근 요즘 핫한 한강로 상권에 위치한 코너 1층자리,26.64
2,2324427416,일반상가,상가,매매,23.06.08.,4/4,50000,37.533015,126.965035,1,,선인상가 21동 상가매매,15
3,2324760957,일반상가,상가,월세,23.06.10.,B1/3,2000,37.533232,126.99337,1,남서향,"이태원 퀴논길 인근 지하 깔끔한 작업실, 공방 ",30
4,2324757590,일반상가,상가,매매,23.06.10.,1/5,25000,37.543134,126.964416,1,남향,1층상가 대지5.6 전용9.12 월세45나옴,30.17
5,2324772538,단지내상가,상가,월세,23.06.10.,1/2,5000,37.525937,126.967496,1,동향,"1층 소형평수, 센트럴파크 상가 중심자리, 파크웨이 근접매물",28.79
6,2324773540,단지내상가,상가,월세,23.06.10.,2/42,6000,37.525937,126.967496,1,북서향,상권형성된V 파크웨이뷰 센트럴상가 V무권리 신축 V사장님선점하세요,50.19
7,2324756578,일반상가,상가,월세,23.06.10.,1/6,20000,37.545081,126.966776,4,남동향,실사진O 무권리 숙대입구 메인거리 보기드문 평수 1층 상가,115.7
8,2324749498,일반상가,상가,월세,23.06.10.,2/15,16200,37.534869,126.961117,1,남동향,,177.18
9,2324774404,복합상가,상가,월세,23.06.10.,2/34,8000,37.525937,126.967496,1,북동향,V센트럴파크 몰V 2층네모반듯 창뷰좋은 V무권리점포 V상권형성됨,57.4
10,2324772751,단지내상가,상가,월세,23.06.10.,2/2,15000,37.525937,126.967496,1,남향,"실 45, 무권리,파크웨이 공원 노출 최고, 업종 무관, 즉시입주가능",150
11,2324775668,복합상가,상가,월세,23.06.10.,1/34,10000,37.525937,126.967496,1,남서향,센트럴파크몰V  위치좋은 무권리 V평수확장OK V유기농마트,102.92
12,2324774812,단지내상가,상가,월세,23.06.10.,2/34,15000,37.525937,126.967496,1,남서향,홍보효과 좋은V 2층사거리코너 V병원추천V 뷰좋은V 상권형성된상가,148.73
13,2324774665,복합상가,상가,월세,23.06.10.,2/34,8000,37.525937,126.967496,1,북서향,소아청소년과추천 뷰좋고 홍보효과 좋은 양면상가 조용한사무실추천,78.04
14,2324768094,단지내상가,상가,월세,23.06.10.,2/2,15000,37.525937,126.967496,1,동향,"전용46,전면창 외부 노출되는 2층 상가,빠른입주 가능",87
15,2324772927,단지내상가,상가,월세,23.06.10.,1/2,5000,37.525937,126.967496,1,동향,"전용11.2, 무권리, 대로변, 얼마 남지않은 소형평형 ",36.99
16,2324732838,복합상가,상가,월세,23.06.10.,1/43,2000,37.525937,126.967496,1,북동향,해링턴1층 전용7  시세대비 저렴한 소형점포 ,22.13
17,2324773015,단지내상가,상가,월세,23.06.10.,2/2,3000,37.525937,126.967496,1,동향,"전용14, 무권리, 상가 주차장에서 이용편리, 딜리버리 커피숍등 추천",47.72
18,2324775410,복합상가,상가,월세,23.06.10.,1/34,4000,37.525937,126.967496,1,남서향,센트럴파크몰V 대로변 위치 좋은 무권리 V평수확장OK V유기농마트,36.75
19,2324769334,단지내상가,상가,매매,23.06.10.,3/8,45000,37.533997,126.963937,1,동향,핫한 용산에 최소금액 상가투자로 지분 많은 급매입니다,20.7
0,2324728985,복합상가,상가,월세,23.06.10.,2/43,5000,37.525937,126.967496,1,북동향,해링턴2층 전용15  파크웨이뷰  노출접근성최고위치 ,50.19
1,2324728631,복합상가,상가,월세,23.06.10.,2/43,20000,37.525937,126.967496,1,북동향,전용100  오피스텔홍보관 추천합니다,60.35
2,2324690113,복합상가,상가,매매,23.06.10.,4/8,40000,37.533997,126.963937,1,남서향,한신전자타운 구분상가 매매,16.27
3,2324730268,복합상가,상가,월세,23.06.10.,2/43,3000,37.525937,126.967496,1,북동향,해링턴 2층 전용15  접근성좋은 가게입니다,47.72
4,2324701956,일반상가,상가,월세,23.06.10.,1/4,60000,37.533876,127.001198,1,서향,사운즈한남 인근 대사관로 대로변 노출 좋은 상가 통임대,160.39
5,2324681363,단지내상가,상가,월세,23.06.10.,2/42,5000,37.525937,126.967496,1,,,50.19
6,2324728243,복합상가,상가,월세,23.06.10.,2/43,15000,37.525937,126.967496,1,북동향,전용 100 가능  오피스텔홍보관 적극추천,87.51
7,2324702692,일반상가,상가,월세,23.06.10.,1/5,10000,37.536965,127.001306,1,남서향,신축급 한강진역 근처 무권리 상가 임대,72.38
8,2324727421,복합상가,상가,월세,23.06.10.,2/43,4000,37.525937,126.967496,1,북동향,해링턴2층  전용20  노출 접근성좋은 가게자리입니다,62.89
9,2324732169,복합상가,상가,매매,23.06.10.,11/11,260000,37.527624,126.968856,1,북서향,코너측 위치하여 양창형 구조로 시티뷰와 공원뷰가 매우 좋습니다.,107.83
10,2324665676,일반상가,상가,월세,23.06.10.,1/9,20000,37.552193,126.972112,1,동향,l노른자l 서울역 대로변 유동인구 폭발하는 위치 1층 상가,121
11,2324681621,단지내상가,상가,월세,23.06.10.,2/42,5000,37.525937,126.967496,1,,2층 모든업종가능  파크웨이수혜 좋은자리 옆호실과 같이 세 가능,50.19
12,2324727084,복합상가,상가,월세,23.06.10.,2/43,3000,37.525937,126.967496,1,북동향,해링턴2층 전용15  외식 서비스 추천합니다 ,45.33
13,2324666708,단지내상가,상가,월세,23.06.10.,1/43,10000,37.525118,126.969145,1,북서향,아파트와 오피스텔이 있는 통행량이 많은 1층의 편의점입니다.,72.19
14,2323352102,일반상가,상가,월세,23.06.02.,5/5,10000,37.535253,126.953907,1,북향,V국가대표V 역대급 신축 통임대 상가 사무실 라인 실사진 OK,343.37
15,2324611002,일반상가,상가,월세,23.06.09.,1/5,3000,37.541319,126.961239,1,남향,1층 무권리 네모빤듯 외부데크 역세권 주차편한 ,88.11
16,2324621253,일반상가,상가,월세,23.06.09.,1/5,2000,37.544423,126.967002,1,남향,보증금조정가능,46.2
17,2324639100,단지내상가,상가,월세,23.06.09.,2/42,5000,37.525937,126.967496,1,,모든업종가능 I 파크웨이수혜 2층 좋은자리,60.35
18,2324657905,단지내상가,상가,월세,23.06.09.,2/39,3000,37.525937,126.967496,4,북향,,61.77
19,2324602094,단지내상가,상가,월세,23.06.09.,2/2,3000,37.525937,126.967496,1,남향,"전용15, 즉시입주, 접근성 및 주변 상권 상호연계성 좋은 자리",45.33
0,2324588243,일반상가,상가,월세,23.06.09.,1/10,20000,37.552252,126.972124,2,동향,서울역 13번 출구 초입 1층,112.39
1,2324526022,일반상가,상가,월세,23.06.09.,4/8,10000,37.534004,127.006006,1,서향,"실사진O, 무권리 나인원 한남 및 한남오거리 인근 준신축 건물 상가",86.41
2,2324589920,단지내상가,상가,매매,23.06.09.,B3/4,90000,37.539575,126.963517,1,남서향,,54.79
3,2324569470,일반상가,상가,월세,23.06.09.,3/4,15000,37.533876,127.001198,1,남향,"무권리 한남동 대로변 신축급 루프탑 상가,사무실 임대",140.68
4,2324528719,일반상가,상가,월세,23.06.09.,2/4,4000,37.544536,126.985652,2,북서향,전용 30 V 해방촌 건물 상태 우수 V 내부 기본 인테리어 완료 V,102.67
5,2324568356,단지내상가,상가,매매,23.06.09.,B2/40,113000,37.529116,126.966988,1,남향,"실19, 활용도 좋은큰상가, 신용산연결,유동인구 많음,주차완비,편리성최고",63.36
6,2324570855,단지내상가,상가,월세,23.06.09.,B1/36,3000,37.527624,126.968856,1,서향,"실13 무권리,LS타워,아모레,신용산역지하로 연결, 유동인구많은 좋은위치",43.46
7,2324527067,일반상가,상가,월세,23.06.09.,4/4,5000,37.544536,126.985652,3,북동향,전용 17 V 해방촌 남산뷰 단독 루프탑 V 신흥시장 인근 V,54.2
8,2324601921,복합상가,상가,매매,23.06.09.,3/39,115000,37.527281,126.965291,1,남동향,,48.92
9,2324581043,일반상가,상가,월세,23.06.09.,1/5,2000,37.544423,126.967002,5,남향,"신축무권리,카페 등 추천,월세저렴",25.71
10,2324573643,단지내상가,상가,월세,23.06.09.,1/39,3000,37.527281,126.965291,1,남향,"실6,즉시입주, 위치좋음, 유동인구많음,상가밀집지역",19.96
11,2324558893,단지내상가,상가,월세,23.06.09.,1/39,20000,37.527281,126.965291,2,,"전용60,홍보관,전시장강력추천,가시성.접근성최상,용산역바로앞",200.42
