,atclNo,atclNm,rletTpNm,tradTpNm,atclCfmYmd,flrInfo,prc,lat,lng,sameAddrCnt,direction,atclFetrDesc,spc2
0,2324699001,단지내상가,상가,월세,23.06.10.,2/3,2000,37.601756,126.936831,1,남서향,"초역세권, 유동인구많음",25.4
1,2324745286,단지내상가,상가,월세,23.06.10.,2/2,1500,37.616537,126.926692,1,동향,"무권리,북한산힐스테이트7차아파트 상가,역세권도보68분",30.63
2,2324750190,일반상가,상가,월세,23.06.10.,1/4,500,37.608467,126.922882,2,남향,역촌역3분거리 1층 점포,23.14
3,2324765243,일반상가,상가,월세,23.06.10.,1/2,4000,37.605316,126.924134,1,남서향,무권리 역촌역 대로변 위치좋은 1층 상가,78
4,2324695966,일반상가,상가,월세,23.06.10.,2/3,5000,37.607674,126.931986,2,동향,불광역 인근 대로변 인접한 2층 상가,171.24
5,2324743643,일반상가,상가,월세,23.06.10.,1/3,2000,37.586531,126.919712,2,남향,매출꾸준히나오는 유동인구많은 1층상가,39.66
6,2324695120,일반상가,상가,월세,23.06.10.,2/3,2000,37.611667,126.917618,1,남서향,구산역 사거리 위치 좋은 2층 상가,75.78
7,2324785504,일반상가,상가,월세,23.06.10.,B1/2,10000,37.613383,126.926926,1,남동향,"청년주택B116호,수익창출 좋은곳,임차및매매",49
8,2324738510,단지내상가,상가,월세,23.06.10.,1/1,6000,37.612955,126.933265,1,서향,,39.69
9,2324736915,일반상가,상가,월세,23.06.10.,2/7,2500,37.609498,126.927122,5,남동향,무권리 불광역세권 대로변 노출좋은 상가,157.82
10,2324708100,단지내상가,상가,월세,23.06.10.,1/2,2000,37.596263,126.922057,1,북향,아파트 단지상가 상권 굿  부별 ,39
11,2324675645,단지내상가,상가,월세,23.06.10.,1/2,1500,37.616537,126.926692,1,남동향,"전면부 넓음,어떤 업종도 가능",31.54
12,2324589162,복합상가,상가,월세,23.06.09.,1/4,5000,37.579597,126.898665,2,남향,역앞의 깨끗한 상가 1층,80.12
13,2324604234,일반상가,상가,월세,23.06.09.,2/7,2500,37.609498,126.927122,1,남동향,"불광역, 대조시장 대로변 2층, 무권리, 병의원 헤어샵 사무실 추천",157.82
14,2324625200,일반상가,상가,월세,23.06.09.,1/3,1300,37.620723,126.917876,8,북동향,연신내  먹자골목 사거리 가성비좋은 점포,19.8
15,2324630028,단지내상가,상가,월세,23.06.09.,1/19,2000,37.579597,126.898665,1,남동향,이마트품은DMC자이상가.현재공실.엘리베이터바로앞,31.21
16,2324623226,단지내상가,상가,월세,23.06.09.,B1/1,7000,37.614758,126.932869,1,남향,,494.32
17,2324625460,복합상가,상가,매매,23.06.09.,3/8,71000,37.603489,126.935345,1,서향,"녹번역 초역세권, 대단지 대로변, 스타벅스 입점건물, 매매가 인하",62.73
18,2324664906,단지내상가,상가,월세,23.06.09.,3/10,1000,37.639329,126.920702,1,남동향,"전용7테라스알파,신축,구파발역세권,바로입주가,섹션오피스사무실",23.68
19,2324629957,단지내상가,상가,매매,23.06.09.,1/19,25000,37.579597,126.898665,4,북향,이마트수색점있는상가.현세입자있음.주차여유,22.34
0,2324587460,단지내상가,상가,월세,23.06.09.,1/19,2000,37.579597,126.898665,3,북향,1층.도로변.가시성좋은상가.이마트품은상가,29.05
1,2324503620,복합상가,상가,매매,23.06.09.,2/4,70000,37.578774,126.899573,2,남향,세잘나로은 상가 역앞이고 대단지 아파트인근에 있습니다,103.37
2,2324548632,단지내상가,상가,월세,23.06.09.,3/19,2000,37.578774,126.899573,2,남동향,,62.57
3,2324490865,일반상가,상가,월세,23.06.09.,3/6,3000,37.599367,126.914921,4,서향,응암역 초역세권 유동인구 많고 노출 최고 상가,97.02
4,2324549098,단지내상가,상가,월세,23.06.09.,1/19,5000,37.579597,126.898665,1,동향,이마트1층상가.전용24.무권리.주차무료,80
5,2324587336,단지내상가,상가,월세,23.06.09.,1/15,2000,37.579597,126.898665,1,남서향,"현재공실,디엠씨자이1단지상가1층,디엠시역도보3분거리.",31.21
6,2324576098,일반상가,상가,월세,23.06.09.,1/9,6000,37.617452,126.933309,1,남서향,독바위역인근 신축급 무권리 전면 넓은 상가,117.36
7,2324460132,일반상가,상가,월세,23.06.09.,3/3,2000,37.600896,126.932989,1,북향,l은부거l 무권리 녹번역 도보 3분 초역세권 은평로 대로변 3층,78.84
8,2324529597,일반상가,상가,월세,23.06.09.,1/5,1000,37.607317,126.91372,2,북향,역말어린이공원인근 이면도로 1층 무권리상가,51
9,2324571718,일반상가,상가,월세,23.06.09.,1/6,10000,37.602149,126.926328,1,북동향,무권리 은평세무서 대로변 전면 넓은 1층 상가,165
10,2324551139,일반상가,상가,월세,23.06.09.,3/3,1000,37.610076,126.911281,1,서향,l로데오l 역촌사거리쪽대로변 소액권리 깔끔한상가사무실자리,88.2
11,2324489473,일반상가,상가,월세,23.06.09.,1/7,2000,37.605598,126.915843,5,서향,사거리 횡단보도 앞 대로변 인접한 층고가 매우 높은 1층,23.86
12,2324545802,단지내상가,상가,매매,23.06.09.,1/1,30000,37.636303,126.931527,1,남동향,전면테라스사용가능.미용실.분식집.인테리어.맛사지샆추천.,43.62
13,2324517198,복합상가,상가,매매,23.06.09.,6/16,3100,37.609742,126.929001,1,남서향,엔씨 백화점 저렴한 투자로 고수익 얻을 수 있어요,4.95
14,2324560249,일반상가,상가,월세,23.06.09.,4/6,2000,37.597248,126.924133,1,동향,대단지아파트 인근 노출좋은 코너건물 엘베있음,154.92
15,2324541155,일반상가,상가,월세,23.06.09.,2/5,2000,37.616724,126.920659,1,북동향,공실 0  연신내역 도보3분거리 위치좋은 2층상가,50
16,2324489207,일반상가,상가,월세,23.06.09.,B1/4,1000,37.602616,126.916625,1,남서향,역촌동 걷고싶은거리 인근 지하 상가,109.5
17,2324540336,복합상가,상가,월세,23.06.09.,2/8,2000,37.603489,126.935345,1,남서향,피아노교습소.사무실등. 넓습니다.스타박스입점.신축급대형상가.역3분,48.51
18,2324497550,일반상가,상가,월세,23.06.09.,2/12,5000,37.634205,126.91771,1,동향,"즉시입주가능한, 구파발역 인근, 은평성모병원 인근",116.13
19,2324474511,일반상가,상가,월세,23.06.08.,2/4,2000,37.615353,126.914651,1,남서향,즉시입주ok 주차ok 유동좋고 학군완비 무권리 강력추천 매물,121.92
0,2324315254,일반상가,상가,월세,23.06.08.,1/3,10000,37.593586,126.918917,2,북향,신응암시장 인근 유동인구 많은 거리 1층 코너 상가,76.03
1,2324366324,단지내상가,상가,매매,23.06.08.,1/8,120000,37.603489,126.935345,1,남동향,"역세권,오피스텔70세대입주,인테리어A급,대단지앞가격조절가능,5천350가능",58.04
2,2324423309,일반상가,상가,월세,23.06.08.,1/6,2000,37.608235,126.930056,3,북동향,"통일로,  진흥로 변, 불광역 3번 출구 앞 사거리, 도보 2분",94.75
3,2324390487,일반상가,상가,월세,23.06.08.,1/3,1000,37.620851,126.915034,1,남서향,l은부거l 갈현초 인근 사거리 코너건물 I 내부 인테리어 깔끔,33
4,2324362915,일반상가,상가,월세,23.06.08.,B1/5,2000,37.602167,126.924523,1,남향,은평세무서 인근 이면도로 지층 상가,132.83
5,2324410740,일반상가,상가,월세,23.06.08.,8/8,20000,37.619051,126.922632,1,북서향,연신내 역세권 대로변 메디컬 빌딩 8층 무권리,378
6,2324319072,단지내상가,상가,월세,23.06.08.,1/2,1000,37.587994,126.924104,1,서향,단지상가 주변 학원형성이 굿,39.99
7,2324406661,일반상가,상가,월세,23.06.08.,1/6,5000,37.601009,126.92574,5,북향,은평구청 세무서 대로변 유동인구 많은 상가,70.38
8,2324413750,일반상가,상가,월세,23.06.08.,8/10,10000,37.609734,126.931024,3,남서향,불광역세권 대로변 메디컬빌딩 병원 및 기타업종 임대,177.91
9,2324410189,일반상가,상가,월세,23.06.08.,2/8,5000,37.610559,126.917976,1,북동향,구산역세권 대로변 노출좋은 상가 병원 학원 추천,183
10,2324327047,일반상가,상가,월세,23.06.08.,1/4,3000,37.605967,126.914601,1,남향,l다와l 무권리 역말사거리 초입대로변 코너1층상가,33
11,2324394670,단지내상가,상가,월세,23.06.08.,3/3,2000,37.614935,126.92833,1,남서향,,86.4
12,2324316040,일반상가,상가,월세,23.06.08.,1/2,2000,37.602763,126.918328,1,남향,걷고싶은거리 메인상권 교차로 유동인구 많은 1층 무권리,33.06
13,2324387415,단지내상가,상가,월세,23.06.08.,2/3,2000,37.614935,126.92833,1,남동향,,80.4
14,2324336750,복합상가,상가,매매,23.06.08.,1/4,50000,37.579597,126.898665,4,북동향,이마트1층건물의 주차시설 좋은 대로변 상가,29.05
15,2324382121,일반상가,상가,월세,23.06.08.,1/6,2000,37.597248,126.924133,1,동향,"무권리, 노출좋은 1층상가, 엘베O, 주차O",62.81
16,2324319864,일반상가,상가,월세,23.06.08.,B1/5,1000,37.62231,126.919356,2,남향,무권리 연신내 청구성심병원 인근 도로변 옆 건물 지하 상가,83
17,2324328323,단지내상가,상가,월세,23.06.08.,1/19,2000,37.579597,126.898665,2,남동향,주차장있는 안쪽에 들어가 있지만 가격이 좋은 상가,35.96
18,2324413588,일반상가,상가,월세,23.06.08.,5/10,10000,37.609734,126.931024,2,남서향,불광역세권 대로변 메디컬빌딩 병원 및 기타업종 임대,177.91
19,2324373239,일반상가,상가,매매,23.06.08.,1/4,25000,37.586942,126.91957,2,북서향,1층 상가 투자목적 사용목적 모두 좋습니다. 경전철예정지인근상가,43.85
0,2324313830,일반상가,상가,월세,23.06.08.,1/3,5000,37.593586,126.918917,1,북향,신응암시장 인근 유동인구 많은 거리 1층 상가,36.36
1,2324301443,단지내상가,상가,월세,23.06.08.,5/5,3000,37.617511,126.932978,1,동향,대단지아파트입구 항아리상권 엘리베이터있는 건물,140.6
2,2324291020,단지내상가,상가,매매,23.06.08.,2/14,58000,37.63338,126.917908,1,서향,은평 뉴타운 대단지 역세권 수익률 좋은 상가,66.21
3,2324280778,단지내상가,상가,매매,23.06.08.,2/19,70000,37.578774,126.899573,1,남향,초역세권.DMC역바로앞.임차인안고매매,103.37
4,2324280613,단지내상가,상가,매매,23.06.08.,3/19,48000,37.578774,126.899573,2,남동향,초역세권.수색증산뉴타운중심.세입자있음,62.57
5,2324160572,복합상가,상가,월세,23.06.07.,1/20,2000,37.639932,126.919928,2,남서향,"전용15,구파발초역세권  상권,주차편리,학원, 교습소, 에어컨설치,",49.4
6,2324196449,일반상가,상가,월세,23.06.07.,1/5,5000,37.620135,126.926531,2,북동향,창고 사무실 등,63.45
7,2324202503,일반상가,상가,월세,23.06.07.,1/5,2000,37.601471,126.920817,1,동향,l로데오l 서부경찰서 인근 대로변 1층 상가,23.14
8,2324203215,일반상가,상가,월세,23.06.07.,1/4,5000,37.617796,126.920987,1,남동향,l로데오l 무권리 불광역1분거리 40의 초역세권 1층 넓은 상가,130.96
9,2324158578,복합상가,상가,매매,23.06.07.,1/4,40000,37.579597,126.898665,2,남향,이마트건물 깨끗한 대로변은아닌 안쪽 상가 1층,29.12
10,2324178988,일반상가,상가,월세,23.06.07.,1/3,2000,37.623334,126.917676,4,북향,무권리 갈현 1동 주민센터 인근 대로변 1층 상가,21.45
11,2324211586,일반상가,상가,월세,23.06.07.,1/7,1500,37.618934,126.932541,1,동향,독바위역 버스정류장앞 서비스업추천 무권리,14.45
12,2324226591,단지내상가,상가,매매,23.06.07.,1/7,52000,37.644833,126.927744,1,남서향,"노출 좋고, 수익률 좋은 상가 매매",65.84
13,2324206782,단지내상가,상가,월세,23.06.07.,B3/1,3000,37.584916,126.89181,1,남서향,,34.42
14,2324246026,일반상가,상가,월세,23.06.07.,1/7,1000,37.61719,126.933192,1,서향,,18
15,2324204210,일반상가,상가,월세,23.06.07.,3/8,3000,37.600328,126.917827,1,남향,l로데오l 엘베O무권리 응암역 도보3분 내부 깔끔한 3층상가,138.41
16,2324202969,일반상가,상가,월세,23.06.07.,1/5,2000,37.620948,126.918016,2,남향,연신내 먹자상권 저렴한 월세 1층 상가,33
17,2324160471,복합상가,상가,매매,23.06.07.,1/4,22000,37.579597,126.898665,3,북동향,이마트1층건물의 주차시설 좋고 상가시설있는 좋은 가격매물,13.36
18,2324203411,일반상가,상가,월세,23.06.07.,2/2,2000,37.613383,126.926926,1,북동향,l로데오l 불광역 청년주택 신축 첫입주 상가 213호,29.62
19,2324218504,단지내상가,상가,월세,23.06.07.,2/3,2000,37.601756,126.936831,1,남서향,학원 및 사무실 추천,25.4
0,2324003226,단지내상가,상가,매매,23.06.07.,1/7,26000,37.647959,126.928858,1,남동향,도로변 노출 좋은 상가 매매.,34.93
1,2324074641,일반상가,상가,월세,23.06.07.,8/8,20000,37.619051,126.922632,2,북서향,연신내역 인근 메디컬 빌딩 탑층,378.16
2,2324146747,단지내상가,상가,월세,23.06.07.,1/7,2000,37.642222,126.922659,1,남서향,"전용8,  전면 넓어 노출 좋은 상권, 버스정류장 앞",59.17
3,2324156431,일반상가,상가,월세,23.06.07.,B1/3,500,37.611389,126.921956,2,남서향,대조동 삼성타운 동명여고인근 지층임대 사무실 공장 창고추천,82.24
4,2324100995,복합상가,상가,월세,23.06.07.,2/15,20000,37.617817,126.920148,1,북서향,"연신내역 초역세권, 대로변 유동인구 노출 모두 굿, 병의원 주점 추천",114.26
5,2324100572,일반상가,상가,월세,23.06.07.,2/5,3500,37.620616,126.917265,1,북서향,"연신내역, 갈현초 인근, 넓고 가성비 좋은, 무권리, 학원 운동시설 추천",137.87
6,2324081446,복합상가,상가,월세,23.06.07.,B1/12,2000,37.610999,126.930394,1,남서향,"불광역 초역세권, 가성비 좋은 신축 첫입주 상가, 사무실 공방 추천",74.74
7,2324157189,단지내상가,상가,월세,23.06.07.,B3/1,3000,37.584916,126.89181,2,남서향,"롯데캐슬 단지 상가, 대로변1층,공실",34.42
8,2324100880,복합상가,상가,월세,23.06.07.,2/15,20000,37.617817,126.920148,1,북서향,"연신내역 초역세권, 대로변 유동인구 노출 모두 굿, 병의원 주점 추천",99.64
9,2324007631,일반상가,상가,월세,23.06.07.,3/5,3000,37.623596,126.91819,1,남향,대로변3층상가 역세권 연신내역도보8분거리 평지 엘베.주차가능 .정류장1분,184
10,2324139410,단지내상가,상가,매매,23.06.07.,1/15,40000,37.579597,126.898665,1,남서향,,31.22
11,2324042956,일반상가,상가,월세,23.06.07.,4/6,2000,37.597248,126.924133,1,동향,"무권리, 영락중 정문앞, 노출좋은 상가, 엘베O, 주차O",146
12,2324101617,일반상가,상가,월세,23.06.07.,5/6,4000,37.620027,126.917034,1,남서향,"연신내역, 갈현초, 베란다 품은 통창상가, 학원 운동시설 사무실 추천",218.35
13,2324145651,일반상가,상가,월세,23.06.07.,1/4,1000,37.624227,126.917961,7,서향,"현재 공실,무권리",31.09
14,2324093496,일반상가,상가,월세,23.06.07.,1/5,3000,37.604745,126.910304,3,동향,서북시립병원 사거리 도로변 1층 상가,87.13
15,2324083058,일반상가,상가,월세,23.06.07.,2/4,5000,37.600851,126.922102,1,남동향,"응암역, 유동인구 풍부한 응암로 도로변, 무권리, 판매점 운동시설 추천",67.9
16,2324100718,일반상가,상가,월세,23.06.07.,3/5,3000,37.620616,126.917265,1,북서향,"연신내역, 갈현초 인근, 넓고 가성비 좋은, 무권리, 학원 운동시설 추천",137.87
17,2324158306,복합상가,상가,월세,23.06.07.,1/4,2000,37.579597,126.898665,1,남향,대형 마트 상가 1층 대로변 점포는 아닙니다,33.8
18,2324029986,복합상가,상가,월세,23.06.07.,2/2,1500,37.613383,126.926926,1,남서향,불광역세권 900세대 스트리트상가 가장 저렴한 월세,23.87
19,2324079522,복합상가,상가,월세,23.06.07.,1/2,2000,37.63338,126.917908,1,남서향,"대로변1층,역세권,무권리,성모병원앞",28.16
0,2323976872,일반상가,상가,월세,23.06.07.,1/2,1500,37.60687,126.922689,1,남서향,역촌역 초역세권 노출좋은 대로변 1층상가,24
1,2323966691,단지내상가,상가,매매,23.06.07.,1/14,65000,37.601052,126.927689,1,남향,O편의점 직영점운영으로 임대수익 가능 O은평복합문화시설 개발호재,88.38
2,2323974756,일반상가,상가,월세,23.06.07.,2/7,10000,37.605337,126.92202,1,남향,"l은부거l 무권리 I 역촌역 출구 롯데슈퍼 인근 전면, 측면 통유리",160.57
3,2323940117,일반상가,상가,월세,23.06.07.,B1/5,3000,37.592142,126.913264,1,북서향,새절역 1분 위치 좋은 지하,106.95
4,2323970924,일반상가,상가,월세,23.06.07.,2/7,10000,37.605337,126.92202,2,남동향,공실 0 역촌역 도보1분거리 엘베유 신축 상가,160.57
5,2323973594,일반상가,상가,월세,23.06.07.,B1/7,5000,37.624114,126.92023,1,서향,I은부거I 실사진 O I 통일로 대로변 35P 무권리 실제 1층,194.91
6,2323972774,일반상가,상가,월세,23.06.07.,B1/5,2000,37.602167,126.924523,2,북향,공실 0 응암 어린이공원 인근 노출좋은 이면도로 지층 상가,132.83
7,2323973432,일반상가,상가,월세,23.06.07.,2/7,30000,37.619735,126.919935,2,남서향,공실 0 연신내 초역세권 메인거리 상가,407.53
8,2324039247,일반상가,상가,월세,23.06.06.,3/4,2000,37.618461,126.919039,2,남향,무권리 연신내 먹자상권 역 가깝고 유동 많은 상,82
9,2324059483,일반상가,상가,월세,23.06.06.,B1/4,1000,37.592074,126.913638,1,동향,새절역 30초 대로변 지층,60
10,2323971941,단지내상가,상가,매매,23.06.06.,2/2,17500,37.616537,126.926692,1,동향,,30.51
11,2324052040,일반상가,상가,월세,23.06.06.,B1/4,3000,37.639329,126.920702,1,북서향,,26.4
12,2324027396,복합상가,상가,월세,23.06.06.,B1/2,3000,37.613383,126.926926,1,동향,불광역세권 900세대 스트리트상가 저렴한 임대,27.57
13,2324000217,복합상가,상가,매매,23.06.06.,2/8,40000,37.603489,126.935345,1,서향,녹번역 초역세권 대단지 앞 대로변 상가 매매,48.51
14,2323983879,일반상가,상가,매매,23.06.06.,1/4,330000,37.583287,126.892738,1,북동향,수색역바로인근.수색역세권개발의 수혜지.,578.76
15,2323959947,일반상가,상가,월세,23.06.05.,1/3,2000,37.622307,126.919498,4,동향,"대로변, 연신내역 도보 5분, 상가 지역",35
16,2323935784,일반상가,상가,월세,23.06.05.,3/6,2000,37.620675,126.917626,2,북향,l로데오l 사진O 3층 내부 깔끔 단독화장실,81.66
17,2323933812,일반상가,상가,월세,23.06.05.,1/3,1000,37.609264,126.925479,1,북동향,l은부거l 무권리 대조시장내 미래가치 우수,28
18,2323930452,일반상가,상가,월세,23.06.05.,1/3,6000,37.611282,126.929626,8,남향,l로데오l 불광역사거리 메인 위치좋은 1층 넉넉한 크기의 상가,100
19,2323930836,일반상가,상가,월세,23.06.05.,1/5,4000,37.605849,126.912587,4,남향,l로데오l 대로변 노출 좋은 사거리코너자리 무권리 1층 상가,82.65
0,2323912178,일반상가,상가,월세,23.06.05.,2/4,6000,37.593267,126.913821,4,동향,l로데오l 사진O 무권리 새절역교차로 코너 2층 상가,270
1,2323897821,단지내상가,상가,월세,23.06.05.,1/1,5000,37.599019,126.931879,1,서향,,49.83
2,2323907360,일반상가,상가,월세,23.06.05.,3/3,1500,37.621188,126.916802,1,남동향,l로데오l 갈현동성당인근 내부인테리어 정말깔끔,76.87
3,2323854700,단지내상가,상가,월세,23.06.05.,1/20,2000,37.639932,126.919928,1,남서향,구파발 역세권 근생상가 ,49.4
4,2323928969,일반상가,상가,월세,23.06.05.,1/4,3000,37.605967,126.914601,1,남향,l로데오l 역말사거리 1층 무권리 사거리코너자리,41.81
5,2323895241,일반상가,상가,매매,23.06.05.,6/6,60000,37.634867,126.919599,1,남향,,90.08
6,2323862260,단지내상가,상가,월세,23.06.05.,1/2,2000,37.604157,126.93615,1,북향,,42.4
7,2323911712,일반상가,상가,월세,23.06.05.,B1/3,2000,37.620029,126.924839,2,북서향,"l로데오l 내,외관깔끔 연서시장도보2분거리 지층 공실",93.5
8,2323863328,일반상가,상가,월세,23.06.05.,1/5,1000,37.619463,126.914934,1,북서향,선일 초중고 인근 주택 밀집지역에 노출 좋은 1층 상가,46.01
9,2323902380,단지내상가,상가,월세,23.06.05.,B1/3,6000,37.599524,126.9345,1,북동향,,35
10,2323906721,일반상가,상가,월세,23.06.05.,2/5,3000,37.620267,126.917699,1,북향,l로데오l 사진O 시설비인하 연신내 먹자인근 2층상가,97.99
11,2323911897,일반상가,상가,월세,23.06.05.,B1/4,1500,37.592286,126.9151,1,남향,l로데오l 기둥없고 뽀송하며 저렴한 지층,122.88
12,2323922646,일반상가,상가,월세,23.06.05.,B1/4,1000,37.605967,126.914601,2,서향,l로데오l 33P 역말사거리 저렴 지층 상가,111.4
13,2323887583,일반상가,상가,월세,23.06.05.,2/4,2000,37.624202,126.928006,1,남동향,l로데오l 무권리 사진0 내부화장실 중소형평수 저렴한임대료 빠른입점가능,97.2
14,2323906983,일반상가,상가,월세,23.06.05.,1/5,1500,37.609794,126.911248,2,서향,l로데오l 사진O주차O 노출좋은 1층 무권리상가,72
15,2323907262,일반상가,상가,월세,23.06.05.,3/4,12000,37.600081,126.921356,1,북향,무권리 이마트 건너편 대로변 전용넓은 상가건물 임대,508.74
