,atclNo,atclNm,rletTpNm,tradTpNm,atclCfmYmd,flrInfo,prc,lat,lng,sameAddrCnt,direction,atclFetrDesc,spc2
0,2324625559,단지내상가,상가,매매,23.06.09.,B1/18,75000,37.573794,126.973146,1,서향,현 bar 임차중. 광화문 역세권. ,51.62
1,2324373167,일반상가,상가,매매,23.06.08.,B2/20,22000,37.570464,126.97985,1,동향,지하2층 입주용 또는 수익형 소형상가,32.89
2,2324682465,일반상가,상가,월세,23.06.10.,1/14,5000,37.574224,127.001828,1,남동향,추천o카페o업종상관없음o카페는바로시작가능o성업중o권리금협의,55.25
3,2324784549,단지내상가,상가,월세,23.06.10.,2/16,5000,37.570656,127.001207,1,남향,"신축, 입지최고,지하철바로앞,다양한매물보유,미용실,사무실 강추",27.5
4,2324740833,일반상가,상가,월세,23.06.10.,1/6,10000,37.574539,127.015988,1,남향,동묘앞역 도보1분 노출 잘되는 대로변 상가,66
5,2324736643,단지내상가,상가,월세,23.06.10.,1/18,5000,37.572005,127.016033,2,서향,동묘앞역 5번출구 도보 5초 컷 초역세권 1층상가,50.56
6,2324734676,일반상가,상가,월세,23.06.10.,1/6,7000,37.574539,127.015988,5,남향,"무권리, 초역세권 가시성 좋은 식당",50
7,2324786469,단지내상가,상가,매매,23.06.10.,2/16,59900,37.570656,127.001207,1,남향,"신축, 입지최고,지하철바로앞,다양한매물보유",27.5
8,2324785403,단지내상가,상가,월세,23.06.10.,B1/16,3000,37.570656,127.001207,1,남향,"신축, 입지최고,지하철바로앞,다양한매물보유",30.8
9,2324733050,단지내상가,상가,월세,23.06.10.,1/2,8000,37.57084,126.963559,1,남서향,대로변 1층 완전 노출좋은 자리. 무권리,33.07
10,2324661728,일반상가,상가,월세,23.06.09.,2/16,10000,37.570656,127.001207,1,동향,"신축,종로5가역,커피숖,비어,헤어샆등 등 추천",49.28
11,2324512771,일반상가,상가,월세,23.06.09.,1/5,8000,37.596496,126.963725,1,남서향,위치좋은 대로변 사무실 또는 작업실 전시장 추천 5개층 통임대,77.65
12,2324511655,일반상가,상가,월세,23.06.09.,2/5,1500,37.596496,126.963725,2,남서향,위치좋은 대로변 깨끗하고 아담한 사무실 또는 작업실 추천,16.76
13,2324504969,일반상가,상가,월세,23.06.09.,3/5,1500,37.596496,126.963725,1,남서향,위치좋은 대로변 깨끗하고 아담한 사무실 또는 작업실 추천,16.76
14,2324464438,단지내상가,상가,매매,23.06.09.,1/2,81000,37.57084,126.963559,1,남서향,프랜차이즈업종 세입자 끼고 매매 ,34.32
15,2324505473,단지내상가,상가,월세,23.06.09.,B1/16,3000,37.570656,127.001207,1,남동향,종로5가역 바로 앞 하이뷰더광장 신축상가 ,56.75
16,2324512281,일반상가,상가,월세,23.06.09.,1/5,2000,37.596496,126.963725,2,남서향,위치좋은 대로변 깨끗하고 아담한 사무실 또는 작업실 전시장 추천,16.76
17,2324510551,일반상가,상가,월세,23.06.09.,5/5,1500,37.596496,126.963725,1,남서향,위치좋은 대로변 깨끗하고 아담한 사무실 또는 작업실 추천 야외테라스,10.78
18,2324511080,일반상가,상가,월세,23.06.09.,4/5,1500,37.596496,126.963725,1,남서향,위치좋은 대로변 깨끗하고 아담한 사무실 또는 작업실 추천,16.76
19,2324466263,단지내상가,상가,월세,23.06.08.,B2/5,5000,37.57587,126.957134,1,남동향,독립문역 초역세권 넓은 지하 상가 즉시 입주.등기상 지하2층 실제지하일층,271.15
