,atclNo,atclNm,rletTpNm,tradTpNm,atclCfmYmd,flrInfo,prc,lat,lng,sameAddrCnt,direction,atclFetrDesc,spc2
0,2324204752,일반상가,상가,월세,23.06.09.,1/2,10000,37.563747,126.979883,1,남서향,l리치l 우육면집 전수양도 실사진,82.06
1,2324145856,일반상가,상가,월세,23.06.07.,2/3,1000,37.563419,126.993845,1,남향,"을지로,충무로역 도보 역세권 상가",34
2,2324755008,일반상가,상가,월세,23.06.10.,1/2,2000,37.560864,126.996505,1,서향,권리X I 실18 I 1층상가 I 음식점X,59.5
3,2324680994,일반상가,상가,월세,23.06.10.,1/11,250000,37.566497,127.006616,1,,동대문역사문화공원역 초역세권 대로변 위치한 대형평수의 전시관 및 상가자리,257.65
4,2324681124,일반상가,상가,월세,23.06.10.,1/8,24646,37.555154,127.011205,1,남서향,"약수역  초역세권  1,2층 복층 구조의 신축 건물 카페, 베이커리 등",232.26
5,2324685238,단지내상가,상가,월세,23.06.10.,2/19,2000,37.563158,126.969644,1,서향,"시청역, 서대문역 트리플역세권 바비엥3 상가 월세",65.53
6,2324689678,단지내상가,상가,월세,23.06.10.,3/14,1000,37.562274,126.999595,1,북향,대로변 접근성 좋은 근린생활시설 주차가능,24.36
7,2324720465,일반상가,상가,월세,23.06.10.,B1/5,1000,37.552114,127.006775,1,북향,1층 오픈형 문있는 사무실 네일 피부 추천,26.01
8,2324567022,단지내상가,상가,월세,23.06.09.,1/2,3000,37.563584,126.970348,2,북향,무권리 유동인구 많은 상권좋은곳 식당 다용도점포등 모두 가능,51.9
9,2324573268,단지내상가,상가,월세,23.06.09.,2/2,1500,37.566868,127.01713,2,,신당역 직통 주차o엘베o 창고 사무실 편리한곳,24.64
10,2324255022,일반상가,상가,월세,23.06.08.,1/2,50000,37.556058,127.008765,1,남서향,근생 정원 단독주택형 상가 사무실 갤러리 까페 추천,482.87
11,2324446187,복합상가,상가,매매,23.06.08.,B1/11,4300000,37.561345,126.985343,1,남향,명동 최고의입지 쇼핑몰 지하1층상가 통매매,7.64
12,2324321693,일반상가,상가,월세,23.06.08.,1/4,5000,37.562944,127.006555,1,,,92.34
