,atclNo,atclNm,rletTpNm,tradTpNm,atclCfmYmd,flrInfo,prc,lat,lng,sameAddrCnt,direction,atclFetrDesc,spc2
0,2324593962,일반상가,상가,월세,23.06.09.,3/3,3000,37.603974,127.101382,1,동향,"음식점 상권 내,주차공간 넉넉한 상가",180
1,2324702894,일반상가,상가,월세,23.06.10.,1/4,2000,37.599099,127.094365,1,북향,,60.6
2,2324777795,일반상가,상가,월세,23.06.10.,1/4,2000,37.584141,127.079514,1,동향,피시방 업종무관 2종근생 대로변 아파트 배후단지 유동인구,57
3,2324777340,일반상가,상가,월세,23.06.10.,1/4,3000,37.58943,127.093241,2,북서향,"무권리, 대로변 1층 다용도 점포",65.62
4,2324717374,단지내상가,상가,매매,23.06.10.,1/3,100000,37.58237,127.08168,1,북향,3면 트인곳으로  다양한 업종 가능합니다.,54.31
5,2324732771,일반상가,상가,월세,23.06.10.,1/4,1500,37.614224,127.075532,1,,무권리 태릉입구역에서 5분거리 저렴한 월세 다용도 상가,30.14
6,2324488182,단지내상가,상가,월세,23.06.09.,2/12,35000,37.580881,127.089916,1,남향,초역세권 대형평수 사가정역1번출구 도보2분,6.66
7,2324530970,일반상가,상가,월세,23.06.09.,1/4,1000,37.582881,127.084799,2,북동향,사가정. 주차 편리한 무권리 1층 코너 상가.,56.44
8,2324479087,일반상가,상가,월세,23.06.09.,1/3,1500,37.594881,127.100878,2,남동향,"리모델링된 건물, 깨끗, 무인점 , 카페등 추천",25
9,2324536248,일반상가,상가,월세,23.06.09.,B1/4,2000,37.607452,127.106962,1,남향,,33
10,2324556886,일반상가,상가,월세,23.06.09.,4/6,10000,37.605611,127.078409,1,남동향,역세권 대로변 공실 엘베O 상전용100p 병의원 학원 사무실 ,350
11,2324551397,일반상가,상가,월세,23.06.09.,1/4,3000,37.607062,127.106829,1,남향,무인점포 성업중 4천여세대 중심상가내 안정적수입가능,43
12,2324526220,단지내상가,상가,매매,23.06.09.,1/3,95000,37.58237,127.08168,1,북향,,54.67
13,2324670737,일반상가,상가,월세,23.06.09.,2/4,2000,37.587913,127.095753,1,남동향,,82.6
14,2324655985,일반상가,상가,월세,23.06.09.,1/1,2000,37.581077,127.093683,1,서향,"권리금및 관리비 없음, 주차가능, 1층건물 독채, 교통양호, 접근성 용이",67.7
15,2324532602,단지내상가,상가,매매,23.06.09.,1/3,100000,37.58237,127.08168,1,북향,"다양한 업종가,투자및 직영하기좋은 상가",54.31
16,2324597819,일반상가,상가,월세,23.06.09.,B1/9,5000,37.596086,127.083151,1,서향,"무권리, 지하 대형상가 약 77P, 공실, 공장,창고,운동시설,각종사무실",257.44
17,2324674886,일반상가,상가,월세,23.06.09.,1/3,500,37.599332,127.103842,1,남향,"망우초 인근, 1층 깨끗하고 저렴한 사무실",23.1
18,2324626773,일반상가,상가,월세,23.06.09.,1/4,2000,37.599099,127.094365,1,북향,망우역2분 초역세권 이면도로 1층 무권리,60
19,2324470892,일반상가,상가,월세,23.06.08.,4/4,3000,37.594703,127.094437,1,남향,확인 망우역 인근 4층 사무실 약32 상가 임대,105.79
0,2324373350,일반상가,상가,월세,23.06.08.,B1/3,2000,37.605172,127.079116,1,서향,역세권 대로변 45P 무권리 공실 노래방 당구장 식당등 모든업종가능,149.91
1,2324384900,일반상가,상가,월세,23.06.08.,2/4,5000,37.614045,127.078222,1,서향,묵동 먹자라인 미용실 바 학원 사무실,99
2,2324470342,일반상가,상가,월세,23.06.08.,1/4,10000,37.594703,127.094437,1,남향,확인 상봉 이마트 인근 음식점 1층 약 55 상가 임대,181.82
3,2324293217,단지내상가,상가,월세,23.06.08.,2/12,100000,37.580881,127.089916,1,남향,초역세권 대형평수 사가정역1번출구 도보23분,7.73
4,2324418620,일반상가,상가,월세,23.06.08.,B1/4,2000,37.594703,127.094437,1,남향,확인 망우동 대로변 공장 추천 약32 지하 임대,105.79
5,2324364659,단지내상가,상가,매매,23.06.08.,3/43,15000,37.598111,127.090525,1,남향,"망우역호재,복합쇼핑몰,안정된상권,수익률5.1프로",22
6,2324312721,일반상가,상가,월세,23.06.08.,1/3,1000,37.581581,127.089048,2,동향,무권리 10p 사가정시장 부근 깔끔 저렴한 무권리 상가 월세,33.6
7,2324243787,일반상가,상가,월세,23.06.08.,1/3,2000,37.606356,127.098231,1,동향,전용20 먹자골목 유동인구 많음,66
8,2324374286,일반상가,상가,월세,23.06.08.,2/3,5000,37.605172,127.079116,2,서향,역세권 대로변 2층 48P 무권리 공실 식당 프랜차이즈 치킨맥주등 추천,159.8
9,2324417818,일반상가,상가,월세,23.06.08.,3/4,5000,37.594703,127.094437,1,남향,확인 망우역 인근 3층 대형 사무실 약108 상가 임대,357.02
10,2324158376,일반상가,상가,월세,23.06.07.,1/20,3000,37.607744,127.101458,1,서향,"오피스텔 상가, 모든업종가능, 권리금무",32.95
11,2324213256,일반상가,상가,월세,23.06.07.,1/2,1500,37.617831,127.083287,1,북동향,무권리.마을공원바로앞.원묵중.현업종인수가능.9월협의.가스시설유.수도시설유,30
12,2324239392,일반상가,상가,월세,23.06.07.,1/2,1500,37.617831,127.083287,1,동향,"무권리, 가스.수도 시설 유, 근거리 초 중 고 위치, 현 무인 점포",29.8
13,2324197913,일반상가,상가,월세,23.06.07.,B1/9,5000,37.596086,127.083151,1,남향,대로변 대형 75p 지하 사무실 창고,257.44
14,2323973645,일반상가,상가,월세,23.06.06.,1/4,3000,37.58233,127.0892,3,남향,사가정초역세권 무권리 초입 유동인구多,26.44
15,2323989087,일반상가,상가,월세,23.06.06.,1/4,3000,37.607062,127.106829,1,남향,,37
16,2323962093,단지내상가,상가,월세,23.06.06.,1/5,1500,37.606401,127.077622,1,북향,,47.64
17,2323847663,단지내상가,상가,월세,23.06.05.,1/12,10000,37.598111,127.090525,2,남향,중랑구 최고 중심가 랜드마크상권의 1층 상가 유동인구 가장많은 최고입지,68.74
18,2323815541,단지내상가,상가,매매,23.06.05.,2/2,23000,37.609269,127.094611,1,남향,"2년전  전체 올수리,  밝고환한 남향,  월세 보장",26.1
19,2323849294,일반상가,상가,월세,23.06.05.,1/2,1000,37.584397,127.086915,1,남향,수리되어 있는 깔끔한 1층 상가. 내부 화장실0,14
0,2323739134,일반상가,상가,월세,23.06.05.,1/6,4000,37.576273,127.086091,3,서향,무권리 대로변 1층 상가 역세권 내부화장실 주차가능,167
1,2324696012,단지내상가,상가,월세,23.06.10.,1/2,1500,37.610517,127.073671,1,남향,,28.08
2,2323722404,일반상가,상가,월세,23.06.04.,1/5,1000,37.609947,127.07681,2,남향,,39.66
3,2323722401,단지내상가,상가,월세,23.06.04.,1/35,1000,37.61486,127.077913,1,북동향,엘리베이터 바로 옆 유동 인구 많은 자리,32.41
4,2323722380,일반상가,상가,월세,23.06.04.,2/5,1000,37.609947,127.07681,1,서향,"먹골 역세권 유동 인구 바글바글  , 사무실 사용 가능",84.36
